horizon,h,facility_id,method,gamma,window_mult,PICP,MPIW,Winkler
y_t+15min,3,3,ACI,0.01,0.5,0.8955665024630541,19.22516872620173,29.37440667097908
y_t+15min,3,3,ACI,0.01,1.0,0.8945812807881773,18.218177279124813,28.895561021545504
y_t+15min,3,3,ACI,0.01,2.0,0.8955665024630541,17.7227943106884,28.410679068422912
y_t+15min,3,3,ACI,0.02,0.5,0.8926108374384236,18.229610483914914,28.089437493158183
y_t+15min,3,3,ACI,0.02,1.0,0.8916256157635468,17.80660242253641,27.731158773045966
y_t+15min,3,3,ACI,0.02,2.0,0.8926108374384236,17.396036263408185,27.734318094148144
y_t+15min,3,3,ACI,0.05,0.5,0.8847290640394089,16.059005350715694,25.376965548518257
y_t+15min,3,3,ACI,0.05,1.0,0.8876847290640394,15.990260793958823,24.56642731845786
y_t+15min,3,3,ACI,0.05,2.0,0.8857142857142857,15.896041657011114,24.56142654032703
y_t+15min,3,3,ACI,0.1,0.5,0.8689655172413793,15.51281535031289,25.476309783265453
y_t+15min,3,3,ACI,0.1,1.0,0.8758620689655172,15.860458395946328,24.979289865698973
y_t+15min,3,3,ACI,0.1,2.0,0.8738916256157635,15.460061878223948,24.7381125420283
y_t+15min,3,3,ACI,0.2,0.5,0.8453201970443349,16.017420541089997,27.1080267794056
y_t+15min,3,3,ACI,0.2,1.0,0.8482758620689655,16.267789637820673,27.86415602986687
y_t+15min,3,3,ACI,0.2,2.0,0.8443349753694581,16.319342504685608,27.15685966905745
y_t+15min,3,3,ACI,0.5,0.5,0.7852216748768472,16.802354871537876,32.29379442851438
y_t+15min,3,3,ACI,0.5,1.0,0.7921182266009852,17.532451766861126,32.696322592623574
y_t+15min,3,3,ACI,0.5,2.0,0.7911330049261084,17.486118369725514,32.117570623456096
y_t+15min,3,4,split-CP,,,0.9586206896551724,28.517990740740746,35.16182982120051
y_t+15min,3,4,ACI,0.01,0.5,0.896551724137931,21.4858282397041,34.15387698898438
y_t+15min,3,4,ACI,0.01,1.0,0.896551724137931,19.739758631826117,33.155007341062515
y_t+15min,3,4,ACI,0.01,2.0,0.9004926108374385,20.090059583875345,33.19712490279288
y_t+15min,3,4,ACI,0.02,0.5,0.8935960591133005,21.174123479102544,34.227612898276696
y_t+15min,3,4,ACI,0.02,1.0,0.896551724137931,20.512345908652556,33.59286868035267
y_t+15min,3,4,ACI,0.02,2.0,0.8985221674876848,20.90790066475214,33.76468264121392
y_t+15min,3,4,ACI,0.05,0.5,0.8857142857142857,21.571585328892965,34.0462299868258
y_t+15min,3,4,ACI,0.05,1.0,0.8906403940886699,21.68882566931335,34.11675331665233
y_t+15min,3,4,ACI,0.05,2.0,0.8926108374384236,21.467254648526076,33.891388677059126
y_t+15min,3,4,ACI,0.1,0.5,0.8729064039408867,19.573199862689766,33.192257591040594
y_t+15min,3,4,ACI,0.1,1.0,0.8768472906403941,20.272195029227294,33.0284394307845
y_t+15min,3,4,ACI,0.1,2.0,0.8798029556650246,21.174085389669624,33.32682716704934
y_t+15min,3,4,ACI,0.2,0.5,0.8502463054187193,20.067501380684632,35.85355810201476
y_t+15min,3,4,ACI,0.2,1.0,0.8600985221674877,21.04171462395477,35.44436542352923
y_t+15min,3,4,ACI,0.2,2.0,0.8591133004926108,22.2042580917076,35.74220718147934
y_t+15min,3,4,ACI,0.5,0.5,0.7950738916256158,23.835435784895637,42.056442892092406
y_t+15min,3,4,ACI,0.5,1.0,0.8019704433497536,24.8383557477188,42.83904628314579
y_t+15min,3,4,ACI,0.5,2.0,0.8108374384236453,25.75201228695588,42.940643101315764
y_t+15min,3,5,split-CP,,,0.8945812807881773,15.060436507936402,27.580129305013546
y_t+15min,3,5,ACI,0.01,0.5,0.8975369458128079,18.02957755123912,28.753241578417928
y_t+15min,3,5,ACI,0.01,1.0,0.896551724137931,16.282685829669322,28.226472395867216
y_t+15min,3,5,ACI,0.01,2.0,0.8955665024630541,15.494382742982252,27.761655550816638
y_t+15min,3,5,ACI,0.02,0.5,0.8975369458128079,16.479607319573326,28.341119433440117
y_t+15min,3,5,ACI,0.02,1.0,0.8945812807881773,15.879546265602665,27.87534557111379
y_t+15min,3,5,ACI,0.02,2.0,0.8935960591133005,15.84571889073342,28.069645850928854
y_t+15min,3,5,ACI,0.05,0.5,0.8837438423645321,16.62410571644192,28.257136156718673
y_t+15min,3,5,ACI,0.05,1.0,0.8837438423645321,15.38673305883133,27.522091641044597
y_t+15min,3,5,ACI,0.05,2.0,0.8857142857142857,15.806199386537562,28.122171505004754
y_t+15min,3,5,ACI,0.1,0.5,0.8689655172413793,16.237259981242985,27.2370140856498
y_t+15min,3,5,ACI,0.1,1.0,0.8630541871921182,16.325669053068804,27.813590945899563
y_t+15min,3,5,ACI,0.1,2.0,0.865024630541872,16.35634368135969,27.548028980096706
y_t+15min,3,5,ACI,0.2,0.5,0.8463054187192118,16.47734640042497,30.798578003159037
