arm,fold,facility_id,dynamic,low_info,partition,cell,method,PICP,MPIW,n_cell,cramers_v,degenerate
A_folds,F1,3,True,False,random_5,r1,Mondrian-split-CP,0.8888888888888888,17.935369243582212,81,0.0982555974931848,False
A_folds,F1,3,True,False,random_5,r0,ACI,0.9090909090909092,17.08168115437686,99,0.0982555974931848,False
A_folds,F1,3,True,False,random_5,r3,ACI,0.8247422680412371,17.739973139594277,97,0.0982555974931848,False
A_folds,F1,3,True,False,random_5,r2,ACI,0.9509803921568628,15.733147880532684,102,0.0982555974931848,False
A_folds,F1,3,True,False,random_5,r4,ACI,0.9523809523809524,18.266228981996832,84,0.0982555974931848,False
A_folds,F1,3,True,False,random_5,r1,ACI,0.8888888888888888,18.08515714241177,81,0.0982555974931848,False
A_folds,F1,3,True,False,random_5,r0,ToD-ACI,0.8787878787878788,16.51760449006661,99,0.0982555974931848,False
A_folds,F1,3,True,False,random_5,r3,ToD-ACI,0.8350515463917526,17.770822562269732,97,0.0982555974931848,False
A_folds,F1,3,True,False,random_5,r2,ToD-ACI,0.9607843137254902,15.67219199759028,102,0.0982555974931848,False
A_folds,F1,3,True,False,random_5,r4,ToD-ACI,0.9404761904761904,17.472092322029823,84,0.0982555974931848,False
A_folds,F1,3,True,False,random_5,r1,ToD-ACI,0.9012345679012346,17.004845696827175,81,0.0982555974931848,False
A_folds,F1,3,True,False,time_of_day,midday,split-CP,0.768595041322314,13.392518440008123,121,1.0,False
A_folds,F1,3,True,False,time_of_day,pm_rush,split-CP,0.8125,17.641535714285737,96,1.0,False
A_folds,F1,3,True,False,time_of_day,evening,split-CP,0.956989247311828,17.641535714285737,93,1.0,False
A_folds,F1,3,True,False,time_of_day,night,split-CP,1.0,17.641535714285737,105,1.0,False
A_folds,F1,3,True,False,time_of_day,am_rush,split-CP,0.8541666666666666,17.641535714285737,48,1.0,False
A_folds,F1,3,True,False,time_of_day,midday,Mondrian-split-CP,0.768595041322314,13.235587000962004,121,1.0,False
A_folds,F1,3,True,False,time_of_day,pm_rush,Mondrian-split-CP,0.9270833333333334,24.572468253968253,96,1.0,False
A_folds,F1,3,True,False,time_of_day,evening,Mondrian-split-CP,1.0,26.369214285714328,93,1.0,False
A_folds,F1,3,True,False,time_of_day,night,Mondrian-split-CP,0.9523809523809524,9.792170634920636,105,1.0,False
A_folds,F1,3,True,False,time_of_day,am_rush,Mondrian-split-CP,0.75,13.518283068783091,48,1.0,False
A_folds,F1,3,True,False,time_of_day,midday,ACI,0.8677685950413223,17.170939515183317,121,1.0,False
A_folds,F1,3,True,False,time_of_day,pm_rush,ACI,0.8958333333333334,25.298797247023813,96,1.0,False
A_folds,F1,3,True,False,time_of_day,evening,ACI,0.978494623655914,18.271064936357945,93,1.0,False
A_folds,F1,3,True,False,time_of_day,night,ACI,0.961904761904762,10.573582480130092,105,1.0,False
A_folds,F1,3,True,False,time_of_day,am_rush,ACI,0.75,14.58546789822831,48,1.0,False
A_folds,F1,3,True,False,time_of_day,midday,ToD-ACI,0.859504132231405,18.49655192121928,121,1.0,False
A_folds,F1,3,True,False,time_of_day,pm_rush,ToD-ACI,0.9166666666666666,25.285297508818346,96,1.0,False
A_folds,F1,3,True,False,time_of_day,evening,ToD-ACI,0.913978494623656,16.059258135631797,93,1.0,False
