horizon,h,facility_id,method,gamma,window_mult,PICP,MPIW,Winkler
y_t+30min,1,9,ACI,0.02,1.0,0.8888888888888888,21.504392024744806,36.363671111912765
y_t+30min,1,9,ACI,0.05,1.0,0.8962962962962963,24.196698736037636,37.33206634065523
y_t+30min,1,9,ACI,0.1,1.0,0.8888888888888888,30.53354784752285,42.94577512025011
y_t+30min,1,10,split-CP,,,0.9407407407407408,14.094416666666689,19.955762345679027
y_t+30min,1,10,ACI,0.002,1.0,0.9407407407407408,14.285118445032333,20.04240004409171
y_t+30min,1,10,ACI,0.005,1.0,0.9333333333333333,14.11118228982951,19.99692685185185
y_t+30min,1,10,ACI,0.01,1.0,0.9333333333333333,13.73727907113463,19.917629012345678
y_t+30min,1,10,ACI,0.02,1.0,0.9259259259259259,13.252077819197266,19.850101829137945
y_t+30min,1,10,ACI,0.05,1.0,0.9111111111111111,12.00869294265406,19.687880051841166
y_t+30min,1,10,ACI,0.1,1.0,0.9037037037037037,12.749184983432206,20.957042861151198
y_t+30min,1,11,split-CP,,,0.8518518518518519,50.04242857142869,80.56847584308692
y_t+30min,1,11,ACI,0.002,1.0,0.8888888888888888,58.13535824514996,80.57817514430016
y_t+30min,1,11,ACI,0.005,1.0,0.8888888888888888,59.00999441505,80.6767591122869
y_t+30min,1,11,ACI,0.01,1.0,0.8962962962962963,58.894663052482535,81.0506230759981
y_t+30min,1,11,ACI,0.02,1.0,0.8962962962962963,62.835231106033895,84.02651441531718
y_t+30min,1,11,ACI,0.05,1.0,0.8962962962962963,60.691059392870535,80.01386494842605
y_t+30min,1,11,ACI,0.1,1.0,0.8962962962962963,62.65982197370532,89.15399939607717
y_t+60min,2,1,split-CP,,,0.9037037037037037,78.06559523809526,104.29341754850088
y_t+60min,2,1,ACI,0.002,1.0,0.8740740740740741,68.77182251483087,111.89477195633587
y_t+60min,2,1,ACI,0.005,1.0,0.8666666666666667,68.37143119421731,111.36293802175192
y_t+60min,2,1,ACI,0.01,1.0,0.8740740740740741,67.21724974881089,110.58235313719202
y_t+60min,2,1,ACI,0.02,1.0,0.8740740740740741,72.93068159905937,110.84584783817002
y_t+60min,2,1,ACI,0.05,1.0,0.8814814814814815,85.69380485276042,109.67831381807494
y_t+60min,2,1,ACI,0.1,1.0,0.8666666666666667,84.21215286863342,113.45571201833147
y_t+60min,2,2,split-CP,,,0.8620689655172413,58.58219047619048,95.33803013820472
y_t+60min,2,2,ACI,0.002,1.0,0.8793103448275862,59.70492578338805,95.94423270730705
y_t+60min,2,2,ACI,0.005,1.0,0.8706896551724138,60.02918448960043,96.36908169129723
y_t+60min,2,2,ACI,0.01,1.0,0.8706896551724138,60.278110666393,97.62699288451012
y_t+60min,2,2,ACI,0.02,1.0,0.8706896551724138,61.58964525177887,99.32866995073891
y_t+60min,2,2,ACI,0.05,1.0,0.8706896551724138,67.33055672919033,96.28642160066946
y_t+60min,2,2,ACI,0.1,1.0,0.8706896551724138,55.3193020976868,94.35770077037427
y_t+60min,2,3,split-CP,,,0.8976377952755905,117.31910317460321,187.8805133108361
y_t+60min,2,3,ACI,0.002,1.0,0.8661417322834646,115.0920294650668,209.7775058117735
y_t+60min,2,3,ACI,0.005,1.0,0.8661417322834646,115.90923740782402,211.90747387826525
y_t+60min,2,3,ACI,0.01,1.0,0.8740157480314961,122.14498053368332,213.1203458005249
y_t+60min,2,3,ACI,0.02,1.0,0.8818897637795275,152.38701724784403,221.44097581552305
y_t+60min,2,3,ACI,0.05,1.0,0.889763779527559,126.04945341207352,177.75430483689536
y_t+60min,2,3,ACI,0.1,1.0,0.8818897637795275,117.99528813585803,156.99933309898768
y_t+60min,2,4,split-CP,,,0.8888888888888888,53.02149404761905,71.11929365747422
y_t+60min,2,4,ACI,0.002,1.0,0.8740740740740741,53.3801212308268,73.0026023916413
y_t+60min,2,4,ACI,0.005,1.0,0.8740740740740741,53.68660394153172,73.38719960718294
y_t+60min,2,4,ACI,0.01,1.0,0.8814814814814815,55.24543784404894,73.96646616963284
y_t+60min,2,4,ACI,0.02,1.0,0.8888888888888888,58.68827237186681,74.16320047565603
y_t+60min,2,4,ACI,0.05,1.0,0.8814814814814815,63.37523486585431,77.30728505023782
y_t+60min,2,4,ACI,0.1,1.0,0.8814814814814815,58.178063614985845,80.66834120570786
y_t+60min,2,5,split-CP,,,0.9558823529411765,231.63334523809522,280.3196837943511
y_t+60min,2,5,ACI,0.002,1.0,0.9338235294117647,213.09287373074227,277.19108568218957
y_t+60min,2,5,ACI,0.005,1.0,0.9264705882352942,208.4282902661064,276.2788898809524
y_t+60min,2,5,ACI,0.01,1.0,0.9191176470588235,202.82333429621846,276.59679455532216
