facility_id,horizon,model,MAE,RMSE
5,y_t+90min,RF-absolute,63.25753607797474,80.92942792619945
6,y_t+30min,RF-delta,32.19141329545454,43.07475189275771
6,y_t+30min,persistence,63.70666666666666,83.67999063894148
6,y_t+30min,RF-absolute,61.6220359457672,77.97297457752028
6,y_t+60min,RF-delta,54.94135414798164,74.13161905983759
6,y_t+60min,persistence,118.18166666666669,151.2185077407304
6,y_t+60min,RF-absolute,97.43884514550258,126.67962145869672
6,y_t+90min,RF-delta,66.62975885919778,86.97412311071707
6,y_t+90min,persistence,160.02858400537633,198.47498913466623
6,y_t+90min,RF-absolute,95.33902035361524,119.24246353898154
7,y_t+30min,RF-delta,11.690996412938912,15.069180649280392
7,y_t+30min,persistence,24.071666666666665,28.636667927676225
7,y_t+30min,RF-absolute,23.250718623136123,29.888482497763352
7,y_t+60min,RF-delta,21.39551474086099,27.02641607407157
7,y_t+60min,persistence,45.315,53.10112600814914
7,y_t+60min,RF-absolute,36.651534086700345,44.141874379531046
7,y_t+90min,RF-delta,29.39790464072367,37.41503104338816
7,y_t+90min,persistence,62.431653897849465,72.49949497675209
7,y_t+90min,RF-absolute,55.22893986376512,63.69008688982881
9,y_t+30min,RF-delta,6.0101150164153525,8.010853478138763
9,y_t+30min,persistence,10.986577181208052,13.626304506235147
9,y_t+30min,RF-absolute,10.427008952782858,14.07669951972574
9,y_t+60min,RF-delta,9.539373124219182,12.551906731690194
9,y_t+60min,persistence,21.251677852349,25.44058085741
9,y_t+60min,RF-absolute,13.92471237724804,18.213523426445267
9,y_t+90min,RF-delta,12.162259475212124,15.932141759952078
9,y_t+90min,persistence,30.909170680883303,36.383965681095134
9,y_t+90min,RF-absolute,15.62587811186523,20.749016545808164
10,y_t+30min,RF-delta,3.077679699076092,4.309926112381199
10,y_t+30min,persistence,3.748322147651007,5.326188936810637
10,y_t+30min,RF-absolute,6.591673273966899,9.01251829741418
10,y_t+60min,RF-delta,4.296027193676941,5.751207151619023
10,y_t+60min,persistence,7.023489932885906,9.739690815483211
10,y_t+60min,RF-absolute,6.847251349182137,9.47445989026504
10,y_t+90min,RF-delta,5.282555793268565,6.840219365962482
10,y_t+90min,persistence,10.271221223930144,13.81866844356619
10,y_t+90min,RF-absolute,7.492592095825095,9.965736173814244
11,y_t+30min,RF-delta,13.236837339115022,17.678916913606816
11,y_t+30min,persistence,22.64093959731544,26.071098580766662
11,y_t+30min,RF-absolute,24.35870825734669,30.89056349207113
11,y_t+60min,RF-delta,24.235053729408182,31.704359658931107
11,y_t+60min,persistence,43.02181208053691,48.3181873784978
11,y_t+60min,RF-absolute,34.58231985543354,43.00819842579197
11,y_t+90min,RF-delta,32.14105581881706,39.922936565075645
11,y_t+90min,persistence,59.835312026412645,66.75145351821101
11,y_t+90min,RF-absolute,42.57008338370108,51.851689982694914
12,y_t+30min,RF-delta,16.152761039203153,22.17238321363996
12,y_t+30min,persistence,28.53020134228188,34.89456795094648
12,y_t+30min,RF-absolute,41.29212135645861,50.90192801309686
12,y_t+60min,RF-delta,28.869737542612125,38.14007976481301
12,y_t+60min,persistence,54.9748322147651,66.33488926317015
12,y_t+60min,RF-absolute,65.97563575774525,88.12336776944909
12,y_t+90min,RF-delta,39.55859226165378,52.978500574597405
12,y_t+90min,persistence,79.28827758533593,94.22201453232674
12,y_t+90min,RF-absolute,78.65845526009603,106.66883716636316
13,y_t+30min,RF-delta,9.542800773431324,12.643732427690342
13,y_t+30min,persistence,17.762096774193548,22.81994741448805
13,y_t+30min,RF-absolute,16.338601501768846,21.881504573986373
13,y_t+60min,RF-delta,18.952114794255923,25.18391832245916
13,y_t+60min,persistence,37.57258064516129,48.25064766404696
13,y_t+60min,RF-absolute,28.27035679956245,41.093184175545645
13,y_t+90min,RF-delta,21.82865103057599,28.73026316033265
13,y_t+90min,persistence,56.14727036723898,69.76838681812677
13,y_t+90min,RF-absolute,32.49611752585866,47.948584608156665
14,y_t+30min,RF-delta,5.686625171853517,9.622532143819422
14,y_t+30min,persistence,8.950787401574804,13.66772089589881
14,y_t+30min,RF-absolute,22.051057320959885,42.18982523827005
14,y_t+60min,RF-delta,9.666999267847196,13.6686325566833
14,y_t+60min,persistence,19.025590551181104,26.46021936155136
14,y_t+60min,RF-absolute,24.479498414970845,44.93189000418162
14,y_t+90min,RF-delta,12.59325264067303,16.72431539951486
14,y_t+90min,persistence,28.75568934679536,37.5376730174416
14,y_t+90min,RF-absolute,27.31577151860488,47.0203496845447
15,y_t+30min,RF-delta,6.931957781456954,9.603473210862296
15,y_t+30min,persistence,9.299668874172186,12.264520384625754
15,y_t+30min,RF-absolute,14.726938418002163,18.410619938154
15,y_t+60min,RF-delta,12.648885958688112,16.881775888485276
15,y_t+60min,persistence,18.0182119205298,22.842001585321743
15,y_t+60min,RF-absolute,21.17565053085253,26.931286166803453
15,y_t+90min,RF-delta,18.12857991017489,23.23450967377996
15,y_t+90min,persistence,25.645638618884853,32.1275188874042
15,y_t+90min,RF-absolute,27.827129383013457,34.60259843853558
16,y_t+30min,RF-delta,8.449085222330941,11.66532888263104
16,y_t+30min,persistence,13.659246575342468,16.340750284580377
16,y_t+30min,RF-absolute,24.801965359317247,35.54252674802262
16,y_t+60min,RF-delta,14.929792193584571,20.20965931455088
16,y_t+60min,persistence,25.888698630136982,30.26268414020579
16,y_t+60min,RF-absolute,40.97251821727549,53.51616660144588
16,y_t+90min,RF-delta,19.91300560899329,26.77702036150172
16,y_t+90min,persistence,35.85428036161438,41.930160462807024
16,y_t+90min,RF-absolute,46.56082323970389,62.24772905352914
17,y_t+30min,RF-delta,5.139217071042656,6.458685836265096
17,y_t+30min,persistence,9.767441860465116,13.168518660841478
17,y_t+30min,RF-absolute,9.349719253722162,12.18580587614243
17,y_t+60min,RF-delta,7.943994379006009,10.32592725510172
17,y_t+60min,persistence,19.862403100775197,26.806576408778685
17,y_t+60min,RF-absolute,12.16615193183218,15.224091055237766
17,y_t+90min,RF-delta,10.333822568396076,13.579783031285038
17,y_t+90min,persistence,29.46716366591648,39.19566694011026
17,y_t+90min,RF-absolute,13.289229917574888,16.75279049591495
18,y_t+30min,RF-delta,7.318873661713008,9.7619979738367
18,y_t+30min,persistence,13.53020134228188,16.93602252774844
18,y_t+30min,RF-absolute,13.51902666223597,17.72734978656436
18,y_t+60min,RF-delta,11.793173311494623,14.893127214919234
18,y_t+60min,persistence,26.684563758389263,33.13734890750088
18,y_t+60min,RF-absolute,17.02807060961969,21.51347144135693
18,y_t+90min,RF-delta,16.24725501640533,20.797026320834124
18,y_t+90min,persistence,39.73072747528325,48.11591334742633
18,y_t+90min,RF-absolute,19.84444995710077,25.26597898355387
19,y_t+30min,RF-delta,58.649293754297545,74.0160114170718
19,y_t+30min,persistence,127.46140939597316,161.1579806114643
19,y_t+30min,RF-absolute,117.4008758346893,145.87141678914932
19,y_t+60min,RF-delta,107.85220251411526,133.0800889030016
19,y_t+60min,persistence,233.54697986577185,284.451280609296
19,y_t+60min,RF-absolute,166.5030967428358,217.9262248906051
19,y_t+90min,RF-delta,151.06351752101298,180.96397726444107
19,y_t+90min,persistence,320.4861868099156,380.9639958040525
19,y_t+90min,RF-absolute,184.17998584409224,235.53287328942815
20,y_t+30min,RF-delta,5.684509525813691,7.34711670386119
20,y_t+30min,persistence,7.708333333333333,9.912429066581009
20,y_t+30min,RF-absolute,11.167265218654794,14.85442411993997
20,y_t+60min,RF-delta,10.396973898709314,14.410075949180946
20,y_t+60min,persistence,15.033333333333331,19.08114980229907
20,y_t+60min,RF-absolute,15.965341709756288,22.04638268307902
20,y_t+90min,RF-delta,14.955922509637142,21.308774522719883
20,y_t+90min,persistence,21.445289074500767,27.00483595385349
20,y_t+90min,RF-absolute,19.75027870799716,28.392994133014867
22,y_t+30min,RF-delta,5.506760666185665,7.166497790135407
22,y_t+30min,persistence,7.775,9.904018544678385
22,y_t+30min,RF-absolute,10.66256631462674,15.562748470014494
22,y_t+60min,RF-delta,9.977917427248675,14.062247759058986
22,y_t+60min,persistence,14.983333333333333,18.889665016734533
22,y_t+60min,RF-absolute,14.791547627565336,22.163263541822698
22,y_t+90min,RF-delta,14.955475421280594,21.25511330344521
22,y_t+90min,persistence,20.83585293992149,26.393645700713368
22,y_t+90min,RF-absolute,18.78010683568073,27.24504839679401
23,y_t+30min,RF-delta,27.14097231301509,33.94299186347949
23,y_t+30min,persistence,49.17114093959732,57.46325058491936
23,y_t+30min,RF-absolute,63.23435041813147,75.78996401258226
23,y_t+60min,RF-delta,49.43445588313625,58.61246826031074
23,y_t+60min,persistence,94.59731543624162,107.26119096508448
23,y_t+60min,RF-absolute,83.572757523703,98.227273485653
23,y_t+90min,RF-delta,65.58532346894083,77.15689615976139
23,y_t+90min,persistence,133.077049505665,149.99754569466273
23,y_t+90min,RF-absolute,105.92432116354816,124.68536961216655
24,y_t+30min,RF-delta,14.973524069191434,19.88225561311768
24,y_t+30min,persistence,11.083892617449663,17.740769411974753
24,y_t+30min,RF-absolute,51.44157419579864,83.95824695886851
24,y_t+60min,RF-delta,30.1920246218174,41.22561956282428
24,y_t+60min,persistence,19.68959731543624,30.28780432127801
24,y_t+60min,RF-absolute,78.27756602821115,125.56386876612468
24,y_t+90min,RF-delta,47.90327983840325,63.98357447666851
24,y_t+90min,persistence,27.401492927762146,41.16229171919195
24,y_t+90min,RF-absolute,95.12283525263176,140.8062640305508
25,y_t+30min,RF-delta,74.20787423966786,94.7877770125338
25,y_t+30min,persistence,168.69463087248323,203.02422409769184
25,y_t+30min,RF-absolute,176.46301675068048,221.71350897587757
25,y_t+60min,RF-delta,133.56339099286248,166.45019848040403
25,y_t+60min,persistence,313.28187919463085,366.9250970506618
25,y_t+60min,RF-absolute,226.22211664402926,291.3664711228773
25,y_t+90min,RF-delta,180.1231128278253,222.09597129352022
25,y_t+90min,persistence,432.8376587645233,498.9864284038678
25,y_t+90min,RF-absolute,266.2381374089903,344.2473209645383
26,y_t+30min,RF-delta,37.00375378545765,52.64888071094641
26,y_t+30min,persistence,76.59563758389261,97.38815431391613
26,y_t+30min,RF-absolute,97.3181977886486,137.8160661110225
26,y_t+60min,RF-delta,70.74882756253814,95.35077745517005
26,y_t+60min,persistence,158.31711409395973,199.8496530112695
26,y_t+60min,RF-absolute,136.66544032547444,186.08744616372877
26,y_t+90min,RF-delta,101.28263931930361,137.2550607889447
26,y_t+90min,persistence,236.86246504474275,290.6840419807171
26,y_t+90min,RF-absolute,169.15730682539487,227.9872013094021
27,y_t+30min,RF-delta,13.561027198519232,18.07768143956506
27,y_t+30min,persistence,27.06040268456376,34.05829240991384
27,y_t+30min,RF-absolute,27.479324213491573,37.54115421488873
27,y_t+60min,RF-delta,22.96998920910372,28.949755360378898
27,y_t+60min,persistence,51.59228187919463,63.385575047963975
27,y_t+60min,RF-absolute,38.89262974469599,52.19108343928999
27,y_t+90min,RF-delta,32.62151247610351,40.04385987308061
27,y_t+90min,persistence,74.49340676192539,90.38756655829823
27,y_t+90min,RF-absolute,52.05492851117062,65.99097834859015
28,y_t+30min,RF-delta,15.449391871737513,20.01793899756114
28,y_t+30min,persistence,28.35234899328859,34.43737629242449
28,y_t+30min,RF-absolute,44.08184440280077,56.271628098027605
28,y_t+60min,RF-delta,26.972049508144732,34.434172766730256
28,y_t+60min,persistence,53.79026845637584,63.13044115695011
28,y_t+60min,RF-absolute,58.200941272932944,71.1736574568946
28,y_t+90min,RF-delta,36.5145314782806,46.910165126497624
28,y_t+90min,persistence,76.22203624521903,88.23945735497637
28,y_t+90min,RF-absolute,68.65876504471484,83.6431879437453
29,y_t+30min,RF-delta,23.996839245765422,31.51122826653239
