facility_id,dynamic,partition,cell,method,PICP,MPIW,n_cell,cramers_v_vs_tod,degenerate
2,True,occupancy_tercile,low,ToD-ACI,0.8220858895705522,21.595225715008695,326,0.5880139457230762,False
2,True,random_5,r0,split-CP,0.9532710280373832,22.07028174603169,214,0.06121431335981023,False
2,True,random_5,r3,split-CP,0.919431279620853,22.070281746031693,211,0.06121431335981023,False
2,True,random_5,r2,split-CP,0.9464285714285714,22.070281746031696,224,0.06121431335981023,False
2,True,random_5,r4,split-CP,0.91,22.070281746031696,200,0.06121431335981023,False
2,True,random_5,r1,split-CP,0.9457831325301205,22.070281746031696,166,0.06121431335981023,False
2,True,random_5,r0,Mondrian-split-CP,0.9532710280373832,18.130693424566083,214,0.06121431335981023,False
2,True,random_5,r3,Mondrian-split-CP,0.919431279620853,19.13433000451365,211,0.06121431335981023,False
2,True,random_5,r2,Mondrian-split-CP,0.9598214285714286,19.085333563633778,224,0.06121431335981023,False
2,True,random_5,r4,Mondrian-split-CP,0.93,18.49796587301587,200,0.06121431335981023,False
2,True,random_5,r1,Mondrian-split-CP,0.9578313253012049,18.90948111493593,166,0.06121431335981023,False
2,True,random_5,r0,ACI,0.9158878504672897,17.515240901448852,214,0.06121431335981023,False
2,True,random_5,r3,ACI,0.8341232227488151,18.147101825066287,211,0.06121431335981023,False
2,True,random_5,r2,ACI,0.90625,17.955297594353404,224,0.06121431335981023,False
2,True,random_5,r4,ACI,0.875,17.18871109006735,200,0.06121431335981023,False
2,True,random_5,r1,ACI,0.891566265060241,17.43647809129737,166,0.06121431335981023,False
2,True,random_5,r0,ToD-ACI,0.9112149532710281,15.406920497251104,214,0.06121431335981023,False
2,True,random_5,r3,ToD-ACI,0.8625592417061612,17.119199088036765,211,0.06121431335981023,False
2,True,random_5,r2,ToD-ACI,0.9151785714285714,17.161148711820594,224,0.06121431335981023,False
2,True,random_5,r4,ToD-ACI,0.91,15.942453655603659,200,0.06121431335981023,False
2,True,random_5,r1,ToD-ACI,0.9337349397590361,16.83016764895078,166,0.06121431335981023,False
3,True,time_of_day,night,split-CP,0.9824561403508771,17.30349735449735,285,1.0,False
3,True,time_of_day,am_rush,split-CP,0.8958333333333334,17.048570043816138,192,1.0,False
3,True,time_of_day,midday,split-CP,0.888,13.973601238465239,250,1.0,False
3,True,time_of_day,pm_rush,split-CP,0.7485380116959064,17.303497354497352,171,1.0,False
3,True,time_of_day,evening,split-CP,0.9572649572649573,17.303497354497352,117,1.0,False
3,True,time_of_day,night,Mondrian-split-CP,0.9122807017543859,7.433746031746012,285,1.0,False
3,True,time_of_day,am_rush,Mondrian-split-CP,0.9270833333333334,21.09174460565478,192,1.0,False
3,True,time_of_day,midday,Mondrian-split-CP,0.872,13.179913796666296,250,1.0,False
3,True,time_of_day,pm_rush,Mondrian-split-CP,0.8187134502923976,21.70257142857144,171,1.0,False
3,True,time_of_day,evening,Mondrian-split-CP,0.9658119658119658,18.99567857142858,117,1.0,False
