req,policy,assigned,dist,overflow
457,POINT,8,1.482942706194215,1
458,POINT,8,0.33129439285660933,0
459,POINT,16,0.5007955278107454,0
460,POINT,4,0.2842032248810551,0
461,POINT,23,0.4871392179416293,0
462,POINT,19,0.7150644723683691,0
463,POINT,9,0.7511516747089415,0
464,POINT,14,2.126405264194261,0
465,POINT,8,0.4591293490176758,0
466,POINT,4,0.3747122295596488,0
467,POINT,23,0.3233308048524796,0
468,POINT,8,0.0652421619875577,1
469,POINT,23,0.5086168884583816,0
470,POINT,8,0.5427013721250261,1
471,POINT,8,0.6239726284315246,1
472,POINT,8,0.9727476242646713,1
473,POINT,22,2.69844814884232,0
474,POINT,8,0.27081027086996046,1
475,POINT,9,3.449493810531041,0
476,POINT,19,0.12325220068100128,0
477,POINT,8,0.2384954808035552,1
478,POINT,13,1.3868292062403962,0
479,POINT,12,1.9717670568161927,0
480,POINT,23,0.5841829020082059,0
481,POINT,20,1.6671266040326134,0
482,POINT,8,0.050837263321035955,1
483,POINT,23,0.45751676593732316,0
484,POINT,22,2.1383618743865367,0
485,POINT,23,0.31409374885713875,0
486,POINT,6,1.1553138565317553,0
487,POINT,23,0.5282666558908219,0
488,POINT,18,3.7166114277263556,0
489,POINT,9,0.21706081449199632,0
490,POINT,9,0.19461250230745758,0
491,POINT,19,0.5571498054866562,0
492,POINT,8,0.30900509067708004,1
493,POINT,4,0.6263033709855026,0
494,POINT,23,0.49158695407646874,0
495,POINT,23,0.3811017256479073,0
496,POINT,23,0.7594215846367195,0
497,POINT,20,0.3454630214549973,0
498,POINT,22,3.706163844644334,0
499,POINT,14,2.567049140523202,0
500,POINT,22,2.8717921692414814,0
501,POINT,8,0.2867224004247591,1
502,POINT,7,3.5857230709330854,0
503,POINT,16,0.09989928868159664,0
504,POINT,23,0.20631918898392068,0
505,POINT,19,0.21179719313239903,0
506,POINT,7,4.838105397827805,0
507,POINT,19,0.16569051535064763,0
508,POINT,8,0.35115680252282855,1
509,POINT,13,0.6435433601858987,0
510,POINT,8,0.4314643553942226,0
511,POINT,19,0.3776258049350266,0
512,POINT,17,0.6769385634948928,0
513,POINT,8,0.5284478189050075,1
514,POINT,19,0.21879167314429873,0
515,POINT,18,0.7780325747450246,0
516,POINT,20,1.6770521963440395,0
517,POINT,20,0.10105428172026942,0
518,POINT,16,0.21239537979058054,0
519,POINT,16,0.5294795561867657,0
520,POINT,19,0.26920977245640704,0
521,POINT,8,0.33877379248809714,1
522,POINT,9,0.23639164575975294,0
523,POINT,7,0.03820159554403889,0
524,POINT,18,0.8711110542420588,0
525,POINT,23,0.39823663380709484,0
526,POINT,20,0.315001731121552,0
527,POINT,19,0.35381002049679566,0
528,POINT,14,1.4772983055304183,0
529,POINT,8,0.2505955788815466,0
530,POINT,19,0.35900599092746194,0
531,POINT,23,0.19367841586028375,0
532,POINT,8,0.20318759755407853,1
533,POINT,20,1.2961742584565,0
534,POINT,20,2.1033206734280756,0
535,POINT,9,0.0833965578084962,0
536,POINT,9,1.3838272991740914,0
537,POINT,23,3.4872210008944284,0
538,POINT,8,0.33872465348719943,1
539,POINT,19,0.7398663828881396,0
540,POINT,9,0.0946920919192628,0
541,POINT,18,2.6964020048800728,0
542,POINT,9,0.28464237809436416,0
543,POINT,23,0.18483409602637624,0
544,POINT,9,0.5568017900779829,0
545,POINT,13,1.788284974254097,0
546,POINT,8,0.2704011773852142,1
547,POINT,22,2.971664837655514,0
548,POINT,8,0.24972121595932448,1
549,POINT,22,2.2122809512481423,0
