fold,facility_id,method,PICP,MPIW,Winkler,n_test
F1,12,ACI,0.908315565031983,20.279911147468184,23.90176320187354,469
F1,12,CQR,0.8976545842217484,11.004011500018807,15.22863616605093,469
F1,12,ACQR,0.906183368869936,16.957677570594385,20.50017680439322,469
F1,13,split-CP,0.8805970149253731,20.058134920634984,30.75554012815739,469
F1,13,ACI,0.9189765458422174,20.62111024859212,26.590455800773476,469
F1,13,CQR,0.906183368869936,15.38046949140408,22.631317618777853,469
F1,13,ACQR,0.906183368869936,20.2731869019192,24.809279759478677,469
F1,14,split-CP,0.9616204690831557,21.360063492063546,22.930159758822914,469
F1,14,ACI,0.9019189765458422,19.66677457589398,23.805729897205385,469
F1,14,CQR,0.9530916844349681,19.99850079749196,22.02792127996503,469
F1,14,ACQR,0.8997867803837953,24.187855048967943,28.95071019087554,469
F1,15,split-CP,0.8827292110874201,8.63559523809522,14.118793814374841,469
F1,15,ACI,0.9125799573560768,10.74463753229318,13.981598942516854,469
F1,15,CQR,0.9168443496801706,7.952166028214569,10.759155060162241,469
F1,15,ACQR,0.9019189765458422,9.058857849515828,11.991908804044929,469
F1,16,split-CP,0.9040511727078892,6.088416754097989,9.052552142913552,469
F1,16,ACI,0.9104477611940298,6.644836375481898,8.838525315855273,469
F1,16,CQR,0.8699360341151386,4.869802971356912,8.177203967165209,469
F1,16,ACQR,0.908315565031983,7.377499608717864,9.88525782814598,469
F1,17,split-CP,0.8933901918976546,10.89075396825396,15.656214872350269,469
F1,17,ACI,0.9125799573560768,12.499121097511823,14.896570779631015,469
F1,17,CQR,0.9211087420042644,9.971904368602843,12.463555867332015,469
F1,17,ACQR,0.906183368869936,9.129487900738532,12.828460108789649,469
F1,18,split-CP,0.8443496801705757,8.230785714285702,14.857320428880142,469
F1,18,ACI,0.9147121535181236,15.603614917065876,18.50236131597219,469
F1,18,CQR,0.8592750533049041,7.345704846590926,11.712872052962668,469
F1,18,ACQR,0.906183368869936,16.862810738624955,19.33594198074689,469
F1,19,split-CP,0.8315565031982942,10.948776316828557,20.039846278810035,469
F1,19,ACI,0.906183368869936,18.045986737873196,21.757332780088113,469
F1,19,CQR,0.8805970149253731,10.690859701407955,15.977012633543852,469
F1,19,ACQR,0.9040511727078892,15.419600139225217,19.732898231796835,469
F1,20,split-CP,0.8486140724946695,9.201102630529066,16.019637035396098,469
F1,20,ACI,0.9168443496801706,11.415882341154465,15.411749688093238,469
F1,20,CQR,0.8486140724946695,8.001872958635214,13.741323290212831,469
F1,20,ACQR,0.906183368869936,11.682973128679048,16.040707161850094,469
F1,21,split-CP,0.9189765458422174,9.933555555555557,12.543372854855798,469
F1,21,ACI,0.9147121535181236,10.4805468161409,13.053078460639494,469
F1,21,CQR,0.9616204690831557,10.245355390778823,11.816706068459284,469
F1,21,ACQR,0.906183368869936,8.685344731524783,11.674991249688958,469
F1,22,split-CP,0.9466950959488273,25.309801587301592,38.10735079754802,469
F1,22,ACI,0.9147121535181236,28.50780323029257,38.10399788062369,469
F1,22,CQR,0.9168443496801706,13.910868382578029,23.38020716736905,469
F1,22,ACQR,0.9019189765458422,29.82230466558056,38.77688904161726,469
F1,23,split-CP,0.8763326226012793,7.724426231176239,12.751839486403988,469
F1,23,ACI,0.9104477611940298,22.07865043249611,24.642200984053062,469
F1,23,CQR,0.8550106609808102,5.991635744246252,10.554050152195972,469
F1,23,ACQR,0.9019189765458422,31.112605920118195,33.39940200351413,469
F1,24,split-CP,0.8336886993603412,6.618194444444441,12.566486082522868,469
F1,24,ACI,0.8976545842217484,11.114452203269368,14.752452941179492,469
F1,24,CQR,0.7846481876332623,4.398929926413367,13.226691689784905,469
F1,24,ACQR,0.9019189765458422,9.339841014297782,13.226368991043218,469
