arm,dataset,facility_id,horizon,level,method,PICP,MPIW,Winkler,picp_lo,picp_hi,n_test,dynamic,degenerate,cal_score_max,status
A3_v2_daychunk,belgrade,10,y_t+15min,0.9,EnbPI,0.916256157635468,3.1366177496292,4.212694499506335,0.8849206349206349,0.9434523809523808,1015,False,False,6.464941798941798,ok
A3_v2_daychunk,belgrade,10,y_t+15min,0.9,AgACI-style,0.9123152709359604,3.022121249434984,4.267420730672423,0.8859126984126984,0.9375,1015,False,False,6.464941798941798,ok
A3_v2_daychunk,belgrade,10,y_t+15min,0.9,NGBoost,0.8285714285714286,1.9955783522478032,3.959772681010575,0.8015873015873016,0.8660714285714286,1015,False,False,6.464941798941798,ok
A3_v2_daychunk,belgrade,10,y_t+15min,0.9,NGBoost-conformal,0.9714285714285714,3.934831898196844,4.316761219550627,0.9613095238095238,0.9831349206349206,1015,False,False,6.464941798941798,ok
A3_v2_daychunk,belgrade,10,y_t+15min,0.9,ACI-crosscheck,0.8827586206896552,3.046473439414079,4.399353955814298,0.8561011904761903,0.9067460317460316,1015,False,False,6.464941798941798,ok
A3_v2_daychunk,belgrade,11,y_t+15min,0.9,EnbPI,0.9123152709359604,7.337031265530587,12.327297237531065,0.8749503968253967,0.9503968253968254,1015,True,False,11.631934523809525,ok
A3_v2_daychunk,belgrade,11,y_t+15min,0.9,AgACI-style,0.9182266009852216,5.996853845676516,9.867880958714574,0.8888888888888888,0.9464285714285714,1015,True,False,11.631934523809525,ok
A3_v2_daychunk,belgrade,11,y_t+15min,0.9,NGBoost,0.7320197044334975,3.427966315634507,11.19206219934472,0.6825396825396826,0.7857142857142857,1015,True,False,11.631934523809525,ok
A3_v2_daychunk,belgrade,11,y_t+15min,0.9,NGBoost-conformal,0.8975369458128079,5.1594213280338295,9.589335752421444,0.8591269841269841,0.933531746031746,1015,True,False,11.631934523809525,ok
A3_v2_daychunk,belgrade,11,y_t+15min,0.9,ACI-crosscheck,0.8945812807881773,6.156980171306525,11.45364010141473,0.8521825396825397,0.929563492063492,1015,True,False,11.631934523809525,ok
A3_v2_daychunk,belgrade,12,y_t+15min,0.9,EnbPI,0.8788177339901477,16.480637095905912,30.42224115478232,0.8402777777777778,0.9325396825396826,1015,True,False,30.95688888888889,ok
A3_v2_daychunk,belgrade,12,y_t+15min,0.9,AgACI-style,0.9064039408866996,16.091924649274258,23.4016462429586,0.8819444444444444,0.9375,1015,True,False,30.95688888888889,ok
A3_v2_daychunk,belgrade,12,y_t+15min,0.9,NGBoost,0.7901477832512315,8.919274086783524,27.479235818832525,0.7509920634920635,0.8492063492063492,1015,True,False,30.95688888888889,ok
A3_v2_daychunk,belgrade,12,y_t+15min,0.9,NGBoost-conformal,0.8502463054187193,10.86085381402281,25.99169629228187,0.8134424603174601,0.9087301587301588,1015,True,False,30.95688888888889,ok
A3_v2_daychunk,belgrade,12,y_t+15min,0.9,ACI-crosscheck,0.8827586206896552,16.244002180833217,25.09502828928051,0.8462301587301587,0.9226190476190476,1015,True,False,30.95688888888889,ok
A3_v2_daychunk,belgrade,13,y_t+15min,0.9,EnbPI,0.8926108374384236,23.12272711976127,37.4772875860404,0.8462301587301587,0.9345238095238096,1015,True,False,35.813324735449726,ok
A3_v2_daychunk,belgrade,13,y_t+15min,0.9,AgACI-style,0.9192118226600984,19.20869414958817,29.0453609652396,0.8869047619047619,0.9444444444444444,1015,True,False,35.813324735449726,ok
A3_v2_daychunk,belgrade,13,y_t+15min,0.9,NGBoost,0.7773399014778325,9.56780038174526,28.306658475984925,0.7291666666666666,0.8293650793650794,1015,True,False,35.813324735449726,ok
A3_v2_daychunk,belgrade,13,y_t+15min,0.9,NGBoost-conformal,0.8847290640394089,14.449229667061624,25.82531999698964,0.8482142857142857,0.9246031746031746,1015,True,False,35.813324735449726,ok
A3_v2_daychunk,belgrade,13,y_t+15min,0.9,ACI-crosscheck,0.8689655172413793,17.048547622957223,28.610131277944816,0.8392857142857143,0.8918650793650794,1015,True,False,35.813324735449726,ok
A3_v2_daychunk,belgrade,14,y_t+15min,0.9,EnbPI,0.8778325123152709,20.743218351477463,31.802911987639263,0.8382936507936508,0.9156746031746033,1015,True,False,31.16947486772488,ok
A3_v2_daychunk,belgrade,14,y_t+15min,0.9,AgACI-style,0.90935960591133,23.97900253420291,31.7258174209915,0.8839285714285714,0.9325396825396826,1015,True,False,31.16947486772488,ok
A3_v2_daychunk,belgrade,14,y_t+15min,0.9,NGBoost,0.7034482758620689,13.234990747868002,37.400602306899856,0.6478174603174603,0.7559523809523809,1015,True,False,31.16947486772488,ok
A3_v2_daychunk,belgrade,14,y_t+15min,0.9,NGBoost-conformal,0.9083743842364532,22.63165693489732,30.57892850487488,0.8779761904761905,0.935515873015873,1015,True,False,31.16947486772488,ok
A3_v2_daychunk,belgrade,14,y_t+15min,0.9,ACI-crosscheck,0.8985221674876848,24.048351565621022,33.78540995031241,0.8660714285714286,0.9275793650793652,1015,True,False,31.16947486772488,ok
A3_v2_daychunk,belgrade,15,y_t+15min,0.9,EnbPI,0.8492610837438423,8.989184174738975,19.21857105331613,0.7896825396825397,0.9067460317460316,1015,True,False,18.846329365079367,ok
A3_v2_daychunk,belgrade,15,y_t+15min,0.9,AgACI-style,0.9073891625615764,10.895091261207638,15.479846325794176,0.8759920634920635,0.933531746031746,1015,True,False,18.846329365079367,ok
A3_v2_daychunk,belgrade,15,y_t+15min,0.9,NGBoost,0.7665024630541872,6.122959310806758,20.172794232407625,0.7063492063492064,0.8194444444444444,1015,True,False,18.846329365079367,ok
A3_v2_daychunk,belgrade,15,y_t+15min,0.9,NGBoost-conformal,0.858128078817734,8.671314230082094,18.09397114801809,0.8055555555555556,0.9067460317460316,1015,True,False,18.846329365079367,ok
A3_v2_daychunk,belgrade,15,y_t+15min,0.9,ACI-crosscheck,0.8857142857142857,10.630631783537572,18.932148749512667,0.8333333333333334,0.9315476190476192,1015,True,False,18.846329365079367,ok
A3_v2_daychunk,belgrade,16,y_t+15min,0.9,EnbPI,0.896551724137931,6.464442231878657,9.116134794341528,0.8531746031746031,0.933531746031746,1015,True,False,11.72098611111111,ok
A3_v2_daychunk,belgrade,16,y_t+15min,0.9,AgACI-style,0.923152709359606,6.563541248307659,8.615445519363785,0.9007936507936508,0.9464285714285714,1015,True,False,11.72098611111111,ok
A3_v2_daychunk,belgrade,16,y_t+15min,0.9,NGBoost,0.7596059113300493,4.282483782792212,8.987808487872032,0.7033730158730159,0.8035714285714286,1015,True,False,11.72098611111111,ok
A3_v2_daychunk,belgrade,16,y_t+15min,0.9,NGBoost-conformal,0.9103448275862068,5.866428745267877,7.86650508557204,0.8829365079365079,0.933531746031746,1015,True,False,11.72098611111111,ok
A3_v2_daychunk,belgrade,16,y_t+15min,0.9,ACI-crosscheck,0.9014778325123152,6.434593017199914,9.243300034594125,0.871031746031746,0.9315476190476192,1015,True,False,11.72098611111111,ok
A3_v2_daychunk,belgrade,17,y_t+15min,0.9,EnbPI,0.9152709359605912,9.965924033227088,13.196756516607298,0.8839285714285714,0.949404761904762,1015,True,False,11.793408730158724,ok
A3_v2_daychunk,belgrade,17,y_t+15min,0.9,AgACI-style,0.9064039408866996,8.655136581147433,12.06881912928556,0.8779761904761905,0.933531746031746,1015,True,False,11.793408730158724,ok
A3_v2_daychunk,belgrade,17,y_t+15min,0.9,NGBoost,0.7645320197044335,5.079809153732462,12.199082120106617,0.7023809523809523,0.8204365079365079,1015,True,False,11.793408730158724,ok
A3_v2_daychunk,belgrade,17,y_t+15min,0.9,NGBoost-conformal,0.8935960591133005,6.9680820006162,10.66562600786271,0.8630952380952381,0.925595238095238,1015,True,False,11.793408730158724,ok
A3_v2_daychunk,belgrade,17,y_t+15min,0.9,ACI-crosscheck,0.8896551724137931,8.717822646533362,13.35727011796359,0.8501984126984127,0.9265873015873016,1015,True,False,11.793408730158724,ok
A3_v2_daychunk,belgrade,18,y_t+15min,0.9,EnbPI,0.9133004926108376,8.907470837703466,12.330112302268702,0.8660714285714286,0.9513888888888888,1015,True,False,14.4773253968254,ok
A3_v2_daychunk,belgrade,18,y_t+15min,0.9,AgACI-style,0.9152709359605912,8.035745620341386,10.528528862365134,0.8829365079365079,0.9384920634920636,1015,True,False,14.4773253968254,ok
A3_v2_daychunk,belgrade,18,y_t+15min,0.9,NGBoost,0.8019704433497536,5.011063639584349,10.329153649286653,0.7589285714285714,0.8363095238095238,1015,True,False,14.4773253968254,ok
A3_v2_daychunk,belgrade,18,y_t+15min,0.9,NGBoost-conformal,0.929064039408867,7.493561781577467,9.739787391088509,0.8968253968253969,0.9553571428571428,1015,True,False,14.4773253968254,ok
A3_v2_daychunk,belgrade,18,y_t+15min,0.9,ACI-crosscheck,0.8935960591133005,8.20114427088146,12.532967304170016,0.8373015873015873,0.9345238095238096,1015,True,False,14.4773253968254,ok
A3_v2_daychunk,belgrade,19,y_t+15min,0.9,EnbPI,0.9192118226600984,11.388083429181345,15.000630366335256,0.8988095238095238,0.9464285714285714,1015,True,False,16.064385582010583,ok
A3_v2_daychunk,belgrade,19,y_t+15min,0.9,AgACI-style,0.90935960591133,10.652774952729576,14.81884232604502,0.8869047619047619,0.9365079365079364,1015,True,False,16.064385582010583,ok
A3_v2_daychunk,belgrade,19,y_t+15min,0.9,NGBoost,0.8068965517241379,7.48207973486309,14.989600581171398,0.7827380952380952,0.8382936507936508,1015,True,False,16.064385582010583,ok
A3_v2_daychunk,belgrade,19,y_t+15min,0.9,NGBoost-conformal,0.9201970443349754,10.386330409496486,13.9944841440817,0.8978174603174603,0.945436507936508,1015,True,False,16.064385582010583,ok
A3_v2_daychunk,belgrade,19,y_t+15min,0.9,ACI-crosscheck,0.8886699507389163,10.97464974315048,15.454308641540909,0.8611111111111112,0.91765873015873,1015,True,False,16.064385582010583,ok
A3_v2_daychunk,belgrade,20,y_t+15min,0.9,EnbPI,0.9192118226600984,9.867854970818764,12.434953666309283,0.8859126984126984,0.9563492063492064,1015,True,False,12.761498015873016,ok
A3_v2_daychunk,belgrade,20,y_t+15min,0.9,AgACI-style,0.9103448275862068,7.269457785392549,10.351704078789956,0.8809523809523809,0.9375,1015,True,False,12.761498015873016,ok
A3_v2_daychunk,belgrade,20,y_t+15min,0.9,NGBoost,0.819704433497537,4.5791729678326965,9.931906911964065,0.7857142857142857,0.8581349206349206,1015,True,False,12.761498015873016,ok
A3_v2_daychunk,belgrade,20,y_t+15min,0.9,NGBoost-conformal,0.9517241379310344,8.62765156725729,10.02226327007024,0.9285714285714286,0.9702380952380952,1015,True,False,12.761498015873016,ok
A3_v2_daychunk,belgrade,20,y_t+15min,0.9,ACI-crosscheck,0.8916256157635468,7.279670863851528,11.533431114730003,0.8462301587301587,0.9265873015873016,1015,True,False,12.761498015873016,ok
A3_v2_daychunk,belgrade,21,y_t+15min,0.9,EnbPI,0.9113300492610836,9.056304556529597,14.805094894346286,0.871031746031746,0.9444444444444444,1015,True,False,16.143317460317462,ok
A3_v2_daychunk,belgrade,21,y_t+15min,0.9,AgACI-style,0.9073891625615764,9.086426629591102,13.877075045730985,0.876984126984127,0.9325396825396826,1015,True,False,16.143317460317462,ok
A3_v2_daychunk,belgrade,21,y_t+15min,0.9,NGBoost,0.812807881773399,5.417179555775934,14.2444935246043,0.7678571428571429,0.8591269841269841,1015,True,False,16.143317460317462,ok
