arm,facility_id,cap_train,n_test,onset_index,n_pre_onset,n_post_onset,pre_onset_frac_withdrawn_interval,pre_onset_frac_withdrawn_point,withdrawn_at_last_pre_onset_slot_interval,withdrawn_at_last_pre_onset_slot_point,step_interval,step_point,lead_time_steps,minutes_interval,minutes_point,post_onset_frac_withdrawn_interval,post_onset_frac_withdrawn_point,persists_interval,persists_point,mean_U_post,mean_yhat_post,injected_value,med_train,gamma,overshoot_frac_of_cap
implausible,7,462.3333,1015,428,428,587,0.1168,0.0,0,0,0,0,0,0,0,1.0,1.0,1,1,779.974,770.724,775.2868,394.0,0.02,1.6769
plausible,7,462.3333,1015,428,428,587,0.1168,0.0,0,0,-1,-1,-1,-1,-1,0.0,0.0,-1,-1,407.3326,392.8896,394.0,394.0,0.02,0.8522
none,9,1549.0,1015,428,428,587,0.5093,0.4299,0,0,29,58,29,145,290,0.4259,0.3288,0,0,1532.8796,1526.7699,,1545.5,0.02,
implausible,9,1549.0,1015,428,428,587,0.5093,0.4299,0,0,0,0,0,0,0,1.0,1.0,1,1,2597.8316,2597.0739,2597.5181,1545.5,0.02,1.6769
plausible,9,1549.0,1015,428,428,587,0.5093,0.4299,0,0,0,0,0,0,0,0.0426,0.0034,0,0,1546.4996,1545.6487,1545.5,1545.5,0.02,0.9977
none,11,62.0,1015,428,428,587,0.2009,0.0327,1,0,1,-1,-1,5,-1,0.0221,0.0,0,-1,37.0223,33.2861,,42.0,0.02,
implausible,11,62.0,1015,428,428,587,0.2009,0.0327,1,0,0,0,0,0,0,1.0,1.0,1,1,104.8881,103.0381,103.9678,42.0,0.02,1.6769
plausible,11,62.0,1015,428,428,587,0.2009,0.0327,1,0,-1,-1,-1,-1,-1,0.0,0.0,-1,-1,44.3483,41.9278,42.0,42.0,0.02,0.6774
none,12,289.0,1015,428,428,587,0.4346,0.2243,0,0,65,70,5,325,350,0.2845,0.1056,0,0,261.5477,255.4344,,267.6667,0.002,
implausible,12,289.0,1015,428,428,587,0.4346,0.2243,0,0,0,0,0,0,0,1.0,1.0,1,1,485.9231,482.866,484.6241,267.6667,0.002,1.6769
plausible,12,289.0,1015,428,428,587,0.4346,0.2243,0,0,-1,70,-1,-1,350,0.0,0.0034,-1,0,270.9067,269.1593,267.6667,267.6667,0.002,0.9262
none,13,564.0,1015,428,428,587,0.5374,0.2617,1,0,0,32,32,0,160,0.2589,0.063,0,0,466.301,453.6668,,554.0,0.05,
implausible,13,564.0,1015,428,428,587,0.5374,0.2617,1,0,0,0,0,0,0,1.0,1.0,1,1,947.0213,942.7136,945.7716,554.0,0.05,1.6769
plausible,13,564.0,1015,428,428,587,0.5374,0.2617,1,0,0,-1,-1,0,-1,0.0068,0.0,0,-1,556.7483,551.0193,554.0,554.0,0.05,0.9823
none,14,377.0,1015,428,428,587,0.0,0.0,0,0,146,-1,-1,730,-1,0.0784,0.0,0,-1,284.1698,273.3047,,279.0,0.02,
implausible,14,377.0,1015,428,428,587,0.0,0.0,0,0,0,0,0,0,0,1.0,1.0,1,1,634.2469,630.7965,632.1913,279.0,0.02,1.6769
plausible,14,377.0,1015,428,428,587,0.0,0.0,0,0,-1,-1,-1,-1,-1,0.0,0.0,-1,-1,287.5155,281.6497,279.0,279.0,0.02,0.7401
none,15,110.0,1015,428,428,587,0.028,0.0,0,0,134,134,0,670,670,0.1175,0.0017,0,0,78.3419,73.2261,,91.0,0.01,
implausible,15,110.0,1015,428,428,587,0.028,0.0,0,0,0,0,0,0,0,1.0,1.0,1,1,184.9753,183.8973,184.459,91.0,0.01,1.6769
plausible,15,110.0,1015,428,428,587,0.028,0.0,0,0,-1,-1,-1,-1,-1,0.0,0.0,-1,-1,95.9211,92.9586,91.0,91.0,0.01,0.8273
none,16,53.0,1015,428,428,587,0.0,0.0,0,0,358,-1,-1,1790,-1,0.0239,0.0,0,-1,27.3773,24.586,,8.6667,0.02,
implausible,16,53.0,1015,428,428,587,0.0,0.0,0,0,0,0,0,0,0,1.0,1.0,1,1,91.0009,87.819,88.8757,8.6667,0.02,1.6769
plausible,16,53.0,1015,428,428,587,0.0,0.0,0,0,-1,-1,-1,-1,-1,0.0,0.0,-1,-1,11.3171,8.706,8.6667,8.6667,0.02,0.1635
