facility_id,dynamic,horizon,level,method,PICP,MPIW,Winkler
22,True,y_t+90min,0.95,ACI,0.9444444444444444,100.64219272743024,122.56538346907506
23,True,y_t+30min,0.9,split-CP,0.87248322147651,104.39488293650811,142.58213640358508
23,True,y_t+30min,0.9,ACI,0.8993288590604027,113.98644125579861,149.3762594884608
23,True,y_t+30min,0.95,split-CP,0.9530201342281879,133.44341071428565,159.32957349259613
23,True,y_t+30min,0.95,ACI,0.9463087248322147,167.9858116483628,193.21176243136057
23,True,y_t+60min,0.9,split-CP,0.8590604026845637,169.27873809523814,223.0932335410675
23,True,y_t+60min,0.9,ACI,0.8926174496644296,193.11528542253797,228.33976209240063
23,True,y_t+60min,0.95,split-CP,0.9261744966442953,202.49557738095245,247.80727227815058
23,True,y_t+60min,0.95,ACI,0.9463087248322147,232.25231104186642,270.54946108980505
23,True,y_t+90min,0.9,split-CP,0.8859060402684564,222.46489285714281,286.21203465276085
23,True,y_t+90min,0.9,ACI,0.8926174496644296,239.4765597242225,289.40833400458837
23,True,y_t+90min,0.95,split-CP,0.9731543624161074,309.41997817460333,336.3744888568439
23,True,y_t+90min,0.95,ACI,0.9463087248322147,250.70350110988,331.86974982237854
24,True,y_t+30min,0.9,split-CP,0.8926174496644296,65.68634523809531,90.10357877916267
24,True,y_t+30min,0.9,ACI,0.8926174496644296,66.24666806487696,91.42900840257803
24,True,y_t+30min,0.95,split-CP,0.9932885906040269,118.03189285714281,119.79840612016615
24,True,y_t+30min,0.95,ACI,0.9463087248322147,83.04899808245446,113.43568099499313
24,True,y_t+60min,0.9,split-CP,0.8993288590604027,144.24416468253955,189.46948027857673
24,True,y_t+60min,0.9,ACI,0.8926174496644296,129.59638369553636,163.9471283423884
24,True,y_t+60min,0.95,split-CP,1.0,240.84410714285713,240.84410714285713
24,True,y_t+60min,0.95,ACI,0.9463087248322147,170.25612839565352,191.1058610045807
24,True,y_t+90min,0.9,split-CP,0.9395973154362416,238.73934126984113,278.4956895049866
24,True,y_t+90min,0.9,ACI,0.8926174496644296,197.4843472422019,229.14702122097563
24,True,y_t+90min,0.95,split-CP,1.0,376.2359087301588,376.2359087301588
24,True,y_t+90min,0.95,ACI,0.9463087248322147,240.88681165794642,266.8779948691096
25,True,y_t+30min,0.9,split-CP,0.912751677852349,308.3223392857144,403.4125875013316
25,True,y_t+30min,0.9,ACI,0.8993288590604027,299.68309643656124,421.6524375466071
25,True,y_t+30min,0.95,split-CP,0.9194630872483222,347.2582976190479,469.5702330084156
25,True,y_t+30min,0.95,ACI,0.9530201342281879,432.9763819377863,512.2881929530203
25,True,y_t+60min,0.9,split-CP,0.8926174496644296,525.5977579365081,661.8347969266005
25,True,y_t+60min,0.9,ACI,0.8926174496644296,553.6552270959838,678.3362694950464
25,True,y_t+60min,0.95,split-CP,0.9261744966442953,578.5899444444449,757.1643132523699
25,True,y_t+60min,0.95,ACI,0.9463087248322147,688.3108059284118,809.109670049004
25,True,y_t+90min,0.9,split-CP,0.8389261744966443,656.1091925626606,881.80352284965
25,True,y_t+90min,0.9,ACI,0.8926174496644296,753.797419724353,879.769685591979
25,True,y_t+90min,0.95,split-CP,0.8993288590604027,772.3057056771632,936.5704863117148
25,True,y_t+90min,0.95,ACI,0.9463087248322147,876.6381112976354,983.6489801693508
26,True,y_t+30min,0.9,split-CP,0.9194630872483222,194.4851944444445,252.24636281559611
26,True,y_t+30min,0.9,ACI,0.8926174496644296,188.7439409362077,268.82117708000425
26,True,y_t+30min,0.95,split-CP,0.9463087248322147,231.64619047619038,299.34355518269945
26,True,y_t+30min,0.95,ACI,0.9463087248322147,240.66818890971075,318.5202589388613
26,True,y_t+60min,0.9,split-CP,0.912751677852349,329.9965416666665,435.3144749786941
26,True,y_t+60min,0.9,ACI,0.8993288590604027,342.2530675002664,398.9757939255933
26,True,y_t+60min,0.95,split-CP,0.9463087248322147,417.27530357142854,517.9035988201767
26,True,y_t+60min,0.95,ACI,0.9463087248322147,418.6204487456057,479.80292344465744
26,True,y_t+90min,0.9,split-CP,0.9060402684563759,504.65599206349214,631.8239303464683
26,True,y_t+90min,0.9,ACI,0.8926174496644296,501.1496797814114,617.8595916366897
26,True,y_t+90min,0.95,split-CP,0.9530201342281879,598.3811428571429,723.7071493365909
26,True,y_t+90min,0.95,ACI,0.9463087248322147,647.6296722932505,709.5834170311501
27,True,y_t+30min,0.9,split-CP,0.8456375838926175,52.33091666666678,82.06694148822831
27,True,y_t+30min,0.9,ACI,0.9060402684563759,69.8050265659955,85.68454451635236
27,True,y_t+30min,0.95,split-CP,0.9060402684563759,63.12394642857136,96.93745500426125
27,True,y_t+30min,0.95,ACI,0.9530201342281879,82.07696971875998,104.11953177266423
27,True,y_t+60min,0.9,split-CP,0.8791946308724832,93.05878571428569,118.41375615212534
27,True,y_t+60min,0.9,ACI,0.8993288590604027,96.02143819426286,123.25436919409822
27,True,y_t+60min,0.95,split-CP,0.9463087248322147,105.39692857142836,136.56800719079584
27,True,y_t+60min,0.95,ACI,0.9530201342281879,126.9739762970065,142.47104564823704
27,True,y_t+90min,0.9,split-CP,0.8456375838926175,118.52541071428573,160.39551578432835
27,True,y_t+90min,0.9,ACI,0.8993288590604027,126.0555596270703,155.4092829657917
27,True,y_t+90min,0.95,split-CP,0.9530201342281879,148.6929523809522,180.80369475490807
27,True,y_t+90min,0.95,ACI,0.9530201342281879,152.86157064221754,175.01281947048574
28,True,y_t+30min,0.9,split-CP,0.8187919463087249,53.877376082250976,91.27818760108282
28,True,y_t+30min,0.9,ACI,0.8926174496644296,68.84628538016793,91.91172668196829
28,True,y_t+30min,0.95,split-CP,0.8993288590604027,67.9286547619047,102.57266867863692
28,True,y_t+30min,0.95,ACI,0.9463087248322147,103.62205933496033,122.73733909807564
28,True,y_t+60min,0.9,split-CP,0.825503355704698,91.91673412698422,157.56351964757832
28,True,y_t+60min,0.9,ACI,0.8926174496644296,108.1133669509089,149.90773489932883
28,True,y_t+60min,0.95,split-CP,0.8859060402684564,111.47960714285706,186.95823437878312
28,True,y_t+60min,0.95,ACI,0.9463087248322147,147.07825528656653,185.46336288217748
28,True,y_t+90min,0.9,split-CP,0.8456375838926175,122.25653571428572,215.64030139561828
28,True,y_t+90min,0.9,ACI,0.8926174496644296,144.10417545607143,191.25755653213415
28,True,y_t+90min,0.95,split-CP,0.8926174496644296,157.73584374999996,259.21166119399425
28,True,y_t+90min,0.95,ACI,0.9463087248322147,192.74583882934175,233.53594448235867
29,True,y_t+30min,0.9,split-CP,0.9261744966442953,113.97091269841258,149.13977681900494
29,True,y_t+30min,0.9,ACI,0.8993288590604027,100.14840992862467,146.24182728773832
29,True,y_t+30min,0.95,split-CP,0.959731543624161,158.5663154761905,178.75010662352182
29,True,y_t+30min,0.95,ACI,0.9463087248322147,144.4628445456482,197.56111848833484
