facility_id,dynamic,horizon,level,method,PICP,MPIW,Winkler
4,True,y_t+30min,0.9,split-CP,0.948919449901768,53.38786904761912,62.77783351004671
4,True,y_t+30min,0.9,ACI,0.8978388998035364,38.86068229977779,52.13304466459686
4,True,y_t+30min,0.95,split-CP,0.9833005893909628,76.49975396825393,81.29703746842546
4,True,y_t+30min,0.95,ACI,0.948919449901768,51.7150809016516,64.09598021662754
5,True,y_t+5min,0.9,split-CP,0.9047151277013752,16.085493386243343,25.92741122800652
5,True,y_t+5min,0.9,ACI,0.899803536345776,16.03198097768309,22.308049917384142
5,True,y_t+5min,0.95,split-CP,0.9390962671905696,21.10440476190477,33.18806133890123
5,True,y_t+5min,0.95,ACI,0.949901768172888,20.76468207687313,28.71187871582321
5,True,y_t+15min,0.9,split-CP,0.8899803536345776,25.67394841269834,41.62809204011808
5,True,y_t+15min,0.9,ACI,0.9017681728880156,26.7782780054116,34.30842818612659
5,True,y_t+15min,0.95,split-CP,0.9420432220039292,33.99253174603177,52.515554476957206
5,True,y_t+15min,0.95,ACI,0.950884086444008,32.55628159226169,42.11857314066815
5,True,y_t+30min,0.9,split-CP,0.8182711198428291,32.150507936508006,85.06103561270736
5,True,y_t+30min,0.9,ACI,0.9037328094302554,43.34898569963516,60.16091022817617
5,True,y_t+30min,0.95,split-CP,0.8732809430255403,42.71134126984125,115.74243802718908
5,True,y_t+30min,0.95,ACI,0.9528487229862476,59.23194674439224,75.52168553475278
6,True,y_t+5min,0.9,split-CP,0.862475442043222,6.682714285714312,14.95274286224581
6,True,y_t+5min,0.9,ACI,0.8988212180746562,8.537358411271482,11.489870595750766
6,True,y_t+5min,0.95,split-CP,0.9292730844793712,8.89736507936506,20.738426370544254
6,True,y_t+5min,0.95,ACI,0.949901768172888,12.014604641111276,15.432748888808574
6,True,y_t+15min,0.9,split-CP,0.8388998035363457,9.913867724867714,21.7682763340676
6,True,y_t+15min,0.9,ACI,0.899803536345776,13.909559931691314,17.076190891868446
6,True,y_t+15min,0.95,split-CP,0.9017681728880156,12.034079365079322,30.319754124177525
6,True,y_t+15min,0.95,ACI,0.949901768172888,18.55186314898446,21.76251700724145
6,True,y_t+30min,0.9,split-CP,0.8428290766208252,12.089478835978838,27.310608969435364
6,True,y_t+30min,0.9,ACI,0.899803536345776,16.46145166898082,20.265845862658523
6,True,y_t+30min,0.95,split-CP,0.899803536345776,15.16285714285714,37.843622406809935
6,True,y_t+30min,0.95,ACI,0.949901768172888,22.28288407879946,25.369123617209443
7,True,y_t+5min,0.9,split-CP,0.8644400785854617,37.144202380952606,65.07985299552729
7,True,y_t+5min,0.9,ACI,0.900785854616896,46.02050513732608,60.93767877282974
7,True,y_t+5min,0.95,split-CP,0.9282907662082516,50.01882142857141,79.68450273645801
7,True,y_t+5min,0.95,ACI,0.950884086444008,65.54975849724201,79.78424800595059
7,True,y_t+15min,0.9,split-CP,0.8359528487229863,59.93715079365063,118.65202238116989
7,True,y_t+15min,0.9,ACI,0.900785854616896,71.47184115691482,91.61627885884762
7,True,y_t+15min,0.95,split-CP,0.8870333988212181,77.84506349206367,145.76722007283965
7,True,y_t+15min,0.95,ACI,0.950884086444008,91.15084657620264,106.6945694585012
7,True,y_t+30min,0.9,split-CP,0.7583497053045186,68.39816402116378,166.21635328172584
7,True,y_t+30min,0.9,ACI,0.9017681728880156,93.95167629872078,115.3587997031402
7,True,y_t+30min,0.95,split-CP,0.8261296660117878,85.7454682539682,209.26284359467715
7,True,y_t+30min,0.95,ACI,0.9518664047151276,115.33380689455883,134.95476882937143
8,True,y_t+5min,0.9,split-CP,0.3212180746561886,21.64274999999997,403.4212690772447
8,True,y_t+5min,0.9,ACI,0.900785854616896,64.23321434135065,82.40046763133724
8,True,y_t+5min,0.95,split-CP,0.325147347740668,24.23598412698413,752.6247666760212
8,True,y_t+5min,0.95,ACI,0.950884086444008,68.239851476336,88.3919535594744
8,True,y_t+15min,0.9,split-CP,0.2475442043222004,31.067476190476206,478.3936157576325
8,True,y_t+15min,0.9,ACI,0.9027504911591356,77.71475140850927,91.65648052255176
8,True,y_t+15min,0.95,split-CP,0.9921414538310412,117.32500000000005,124.74561745719902
8,True,y_t+15min,0.95,ACI,0.9528487229862476,80.63061005992661,99.82394791504248
8,True,y_t+30min,0.9,split-CP,0.3005893909626719,62.93138888888891,356.3835716104822
8,True,y_t+30min,0.9,ACI,0.9017681728880156,87.51766735532895,104.0988281670669
8,True,y_t+30min,0.95,split-CP,0.9931237721021612,129.4,138.34727897838903
8,True,y_t+30min,0.95,ACI,0.9518664047151276,94.0888248316026,112.96794573471168
9,True,y_t+5min,0.9,split-CP,0.737721021611002,5.020373015872792,27.72391670304956
9,True,y_t+5min,0.9,ACI,0.8948919449901768,9.84515039321081,12.071933028006876
9,True,y_t+5min,0.95,split-CP,0.793713163064833,7.09555555555562,42.7488631874929
9,True,y_t+5min,0.95,ACI,0.944007858546169,12.26820028567083,14.961939124144434
9,True,y_t+15min,0.9,split-CP,0.7593320235756386,8.97184126984075,44.82581943912991
9,True,y_t+15min,0.9,ACI,0.8939096267190569,15.86097630942711,19.22700724158545
9,True,y_t+15min,0.95,split-CP,0.8241650294695482,12.819376984127755,68.82463901126367
9,True,y_t+15min,0.95,ACI,0.9420432220039292,19.55049303033633,23.384245143572794
9,True,y_t+30min,0.9,split-CP,0.7966601178781926,15.639960317459554,51.85504338869771
9,True,y_t+30min,0.9,ACI,0.8948919449901768,18.29918048818223,21.902294277209347
9,True,y_t+30min,0.95,split-CP,0.8673870333988212,24.32889682539781,67.32895400208268
9,True,y_t+30min,0.95,ACI,0.9430255402750491,23.95917453006478,27.88042460917641
10,False,y_t+5min,0.9,split-CP,1.0,50.419007936507946,50.419007936507946
10,False,y_t+5min,0.9,ACI,0.8948919449901768,4.165957766338663,5.027662405111081
10,False,y_t+5min,0.95,split-CP,1.0,57.458309523809525,57.458309523809525
10,False,y_t+5min,0.95,ACI,0.9420432220039292,6.592554414596901,7.567409587620051
10,False,y_t+15min,0.9,split-CP,1.0,53.71299999999999,53.71299999999999
10,False,y_t+15min,0.9,ACI,0.8988212180746562,5.167180226698646,6.455847444295137
10,False,y_t+15min,0.95,split-CP,1.0,60.00122222222221,60.00122222222221
10,False,y_t+15min,0.95,ACI,0.9479371316306484,7.852218410009915,9.18542973317703
10,False,y_t+30min,0.9,split-CP,1.0,55.98794444444445,55.98794444444445
10,False,y_t+30min,0.9,ACI,0.8939096267190569,5.918243873987453,7.5200697069702676
10,False,y_t+30min,0.95,split-CP,1.0,63.19931746031743,63.19931746031743
10,False,y_t+30min,0.95,ACI,0.944007858546169,8.650352604963135,10.262486877961424
11,True,y_t+5min,0.9,split-CP,0.9361493123772102,7.409298941798937,10.375720476587372
11,True,y_t+5min,0.9,ACI,0.8988212180746562,6.728695305567604,9.107573047104976
11,True,y_t+5min,0.95,split-CP,0.962671905697446,9.419126984126985,13.436622837978431
11,True,y_t+5min,0.95,ACI,0.948919449901768,9.694222863707637,12.18620937915682
11,True,y_t+15min,0.9,split-CP,0.9056974459724952,9.438777777777828,16.716666850703692
11,True,y_t+15min,0.9,ACI,0.899803536345776,9.464791560009887,13.295477251474065
11,True,y_t+15min,0.95,split-CP,0.9449901768172888,13.384313492063493,22.34650409252029
11,True,y_t+15min,0.95,ACI,0.949901768172888,13.776780080248658,18.02487719887621
11,True,y_t+30min,0.9,split-CP,0.869351669941061,12.51538888888889,27.83965645824529
11,True,y_t+30min,0.9,ACI,0.8988212180746562,14.849683691773151,19.996819598273195
11,True,y_t+30min,0.95,split-CP,0.9174852652259332,17.34986904761903,38.10993158256945
11,True,y_t+30min,0.95,ACI,0.949901768172888,19.579428703996545,25.59249364266222
12,True,y_t+5min,0.9,split-CP,0.8467583497053045,11.26872222222227,30.54560123075641
12,True,y_t+5min,0.9,ACI,0.8939096267190569,13.462588339560082,17.361020273267087
