policy,seed,n_requests,n_assigned,assigned_rate,overflow_rate,unserved_or_overflow_rate,mean_straight_line_km,p90_straight_line_km,window,n_base,n_slots,excluded,margin_m,anchor,distinct_min,distinct_next
INTERVAL,19,600,600,1.0,0.0,0.0,1.1975683425961916,3.459833508607637,weekday,20,167,8,9.777785844442262,9;12;7;13,2,33
MARGIN,19,600,600,1.0,0.0,0.0,1.1975683425961916,3.459833508607637,weekday,20,167,8,9.777785844442262,9;12;7;13,2,33
POINT,20,600,600,1.0,0.0,0.0,1.1346927426476163,3.3436925769393158,weekday,20,167,8,9.777785844442262,9;12;7;13,2,33
INTERVAL,20,600,600,1.0,0.0,0.0,1.1346927426476163,3.3436925769393158,weekday,20,167,8,9.777785844442262,9;12;7;13,2,33
MARGIN,20,600,600,1.0,0.0,0.0,1.1346927426476163,3.3436925769393158,weekday,20,167,8,9.777785844442262,9;12;7;13,2,33
POINT,1,600,600,1.0,0.0,0.0,1.165039395881924,3.436854281132363,weekend,20,147,8,9.014929705118522,9;23;18;5,2,43
INTERVAL,1,600,600,1.0,0.0,0.0,1.2405574178702268,3.5470236067018903,weekend,20,147,8,9.014929705118522,9;23;18;5,2,43
MARGIN,1,600,600,1.0,0.0,0.0,1.4779935528618828,3.7204952617000173,weekend,20,147,8,9.014929705118522,9;23;18;5,2,43
POINT,2,600,600,1.0,0.0,0.0,1.2324142175954018,3.462202309308775,weekend,20,147,8,9.014929705118522,9;23;18;5,2,43
INTERVAL,2,600,600,1.0,0.0,0.0,1.2895856290706895,3.5165993775666817,weekend,20,147,8,9.014929705118522,9;23;18;5,2,43
MARGIN,2,600,600,1.0,0.0,0.0,1.535448107906692,3.7139823536654344,weekend,20,147,8,9.014929705118522,9;23;18;5,2,43
POINT,3,600,600,1.0,0.0,0.0,1.014705938958695,2.766003793257438,weekend,20,147,8,9.014929705118522,9;23;18;5,2,43
INTERVAL,3,600,600,1.0,0.0,0.0,1.0401860434987371,2.7740176047562315,weekend,20,147,8,9.014929705118522,9;23;18;5,2,43
MARGIN,3,600,600,1.0,0.0,0.0,1.3306237968570123,3.074718400442849,weekend,20,147,8,9.014929705118522,9;23;18;5,2,43
POINT,4,600,600,1.0,0.0,0.0,1.1005314847811356,3.12573604697147,weekend,20,147,8,9.014929705118522,9;23;18;5,2,43
INTERVAL,4,600,600,1.0,0.0,0.0,1.1473110112216345,3.1570625508416867,weekend,20,147,8,9.014929705118522,9;23;18;5,2,43
MARGIN,4,600,600,1.0,0.0,0.0,1.4597840420436177,3.3916632028312335,weekend,20,147,8,9.014929705118522,9;23;18;5,2,43
POINT,5,600,600,1.0,0.0,0.0,1.0639165867127347,3.045665995994013,weekend,20,147,8,9.014929705118522,9;23;18;5,2,43
INTERVAL,5,600,600,1.0,0.0,0.0,1.1176322391383684,3.1335552606792008,weekend,20,147,8,9.014929705118522,9;23;18;5,2,43
