facility_id,dynamic,base,level,method,PICP,MPIW,Winkler,MAE,gamma,gamma_calB_picp,n_cal_b,degenerate,cal_score_max,n_test,n_cal
4,True,RandomForest,0.95,split-CP,0.9802955665024631,35.89348251889057,44.107904991327786,4.242822640135818,,,,False,45.60462896825397,1015,760
4,True,RandomForest,0.95,ACI,0.948768472906404,27.42424668577636,42.12429522417465,4.242822640135818,0.002,0.9526315789473684,380.0,False,45.60462896825397,1015,760
4,True,GradBoost,0.9,split-CP,0.9517241379310345,28.13709159480632,35.758263031722805,4.533084850828612,,,,False,49.93123171712745,1015,760
4,True,GradBoost,0.9,ACI,0.8985221674876848,21.274076596522956,34.94720170144065,4.533084850828612,0.02,0.8973684210526316,380.0,False,49.93123171712745,1015,760
4,True,GradBoost,0.95,split-CP,0.9773399014778326,39.5199800525651,46.77649147012331,4.533084850828612,,,,False,49.93123171712745,1015,760
4,True,GradBoost,0.95,ACI,0.948768472906404,29.38164882112891,47.30466770920363,4.533084850828612,0.02,0.9473684210526315,380.0,False,49.93123171712745,1015,760
4,True,Ridge(linear),0.9,split-CP,0.9261083743842364,24.727435698681802,33.782662861698725,4.88680676150106,,,,False,42.32691638916541,1015,760
4,True,Ridge(linear),0.9,ACI,0.8857142857142857,21.429299725641922,34.2190580874665,4.88680676150106,0.05,0.9,380.0,False,42.32691638916541,1015,760
4,True,Ridge(linear),0.95,split-CP,0.9684729064039409,33.33774252159222,42.73766580661468,4.88680676150106,,,,False,42.32691638916541,1015,760
4,True,Ridge(linear),0.95,ACI,0.9349753694581281,28.19819973752186,45.34934012519743,4.88680676150106,0.05,0.9447368421052632,380.0,False,42.32691638916541,1015,760
5,True,RandomForest,0.9,split-CP,0.8945812807881773,15.060436507936402,27.580129305013546,3.3245240166055434,,,,False,39.21140873015872,1015,760
5,True,RandomForest,0.9,ACI,0.896551724137931,16.282685829669322,28.22647239586722,3.3245240166055434,0.01,0.9,380.0,False,39.21140873015872,1015,760
5,True,RandomForest,0.95,split-CP,0.9330049261083744,19.301645502645545,37.24452073633352,3.3245240166055434,,,,False,39.21140873015872,1015,760
5,True,RandomForest,0.95,ACI,0.941871921182266,24.506938623272365,39.99570598727124,3.3245240166055434,0.02,0.9473684210526315,380.0,False,39.21140873015872,1015,760
5,True,GradBoost,0.9,split-CP,0.896551724137931,17.862821829956488,29.50587815229448,3.797034815686676,,,,False,26.299453462506946,1015,760
5,True,GradBoost,0.9,ACI,0.8857142857142857,17.709817732332294,28.202172562107737,3.797034815686676,0.05,0.8973684210526316,380.0,False,26.299453462506946,1015,760
5,True,GradBoost,0.95,split-CP,0.9477832512315271,25.05425487953869,38.10441621313282,3.797034815686676,,,,False,26.299453462506946,1015,760
5,True,GradBoost,0.95,ACI,0.9330049261083744,23.411224558236803,39.38553479045814,3.797034815686676,0.05,0.95,380.0,False,26.299453462506946,1015,760
5,True,Ridge(linear),0.9,split-CP,0.9211822660098522,22.142915715670256,35.564144990781315,4.5147020046205215,,,,False,41.31812804137253,1015,760
5,True,Ridge(linear),0.9,ACI,0.8926108374384236,20.590931201561503,33.4235194899728,4.5147020046205215,0.02,0.9,380.0,False,41.31812804137253,1015,760
5,True,Ridge(linear),0.95,split-CP,0.9527093596059113,31.133510126458013,47.257124871168955,4.5147020046205215,,,,False,41.31812804137253,1015,760
5,True,Ridge(linear),0.95,ACI,0.9399014778325123,28.306179306938684,44.52122733569939,4.5147020046205215,0.02,0.9421052631578948,380.0,False,41.31812804137253,1015,760
