facility_id,dynamic,horizon,model,MAE,RMSE,n_test
7,True,y_t+15min,persistence,16.211494252873564,23.13062310515265,1015
7,True,y_t+15min,RF-absolute,16.12646123550779,23.25536230942453,1015
7,True,y_t+30min,RF-delta,20.082023448615285,28.70352448029288,1012
7,True,y_t+30min,persistence,29.112986910694847,40.20679226355199,1012
7,True,y_t+30min,RF-absolute,22.4362382975898,31.011100322915844,1012
8,True,y_t+5min,RF-delta,4.7718542138148825,9.128686398732606,1017
8,True,y_t+5min,persistence,0.2143559488692232,4.833714764727572,1017
8,True,y_t+5min,RF-absolute,28.00918378244448,34.009504771423224,1017
8,True,y_t+15min,RF-delta,10.61688631766883,18.1936694853028,1015
8,True,y_t+15min,persistence,0.6443349753694582,8.380484014379535,1015
8,True,y_t+15min,RF-absolute,35.608267465530275,40.591594080165855,1015
8,True,y_t+30min,RF-delta,14.977639132385578,22.920116330733315,1012
8,True,y_t+30min,persistence,1.2924901185770752,11.869348041274264,1012
8,True,y_t+30min,RF-absolute,40.55376452935148,45.18175833849229,1012
9,True,y_t+5min,RF-delta,0.912648560155565,1.6057407357490665,1017
9,True,y_t+5min,persistence,1.0039331366764996,1.8701131735764152,1017
9,True,y_t+5min,RF-absolute,2.222315734249384,4.492304639457625,1017
9,True,y_t+15min,RF-delta,2.090286194101464,3.6873301882956975,1015
9,True,y_t+15min,persistence,2.5050903119868657,4.737845625526345,1015
9,True,y_t+15min,RF-absolute,3.693404069311486,7.650653514336104,1015
9,True,y_t+30min,RF-delta,3.675076374720577,6.325230442343026,1012
9,True,y_t+30min,persistence,4.696956808157188,8.685625153108187,1012
9,True,y_t+30min,RF-absolute,4.810321576161016,8.696573397711509,1012
10,False,y_t+5min,RF-delta,0.2542268759136998,0.4654528927034022,1017
10,False,y_t+5min,persistence,0.1878072763028514,0.4209627751186756,1017
10,False,y_t+5min,RF-absolute,0.8601884812445282,1.6485667559359536,1017
10,False,y_t+15min,RF-delta,0.5690464278013537,0.9202795091833236,1015
10,False,y_t+15min,persistence,0.4633825944170771,0.8422023933555619,1015
