dataset,facility_id,method,in_published_base,PICP_before,PICP_after,dPICP,MPIW_before,MPIW_after,Winkler_before,Winkler_after,rel_dWinkler
belgrade,11,NGBoost,True,0.7300492610837438,0.7320197044334975,0.0019704433497537144,3.41846385357906,3.427966315634507,11.251550894923694,11.19206219934472,0.005287155178386401
belgrade,11,NGBoost-conformal,True,0.8975369458128079,0.8975369458128079,0.0,5.151379055089715,5.1594213280338295,9.629546530072863,9.589335752421444,0.004175770637365063
belgrade,12,NGBoost,True,0.7921182266009852,0.7901477832512315,-0.0019704433497537144,8.976151206547394,8.919274086783524,27.629136510412696,27.479235818832525,0.005425456981751053
belgrade,12,NGBoost-conformal,True,0.8492610837438423,0.8502463054187193,0.0009852216748769127,10.895967338802896,10.86085381402281,26.18747103365953,25.99169629228187,0.007475893381458123
belgrade,13,NGBoost,True,0.7753694581280788,0.7773399014778325,0.0019704433497537144,9.566351635196265,9.56780038174526,28.369667859052488,28.306658475984925,0.0022210123636486976
belgrade,13,NGBoost-conformal,True,0.8866995073891626,0.8847290640394089,-0.0019704433497537144,14.505753205703732,14.449229667061624,25.84444069954417,25.82531999698964,0.0007398381252206673
belgrade,14,NGBoost,True,0.7024630541871921,0.7034482758620689,0.0009852216748768017,13.298416946886936,13.234990747868002,37.64132575223103,37.400602306899856,0.006395190406302557
belgrade,14,NGBoost-conformal,True,0.9073891625615764,0.9083743842364532,0.0009852216748768017,22.774713184328057,22.63165693489732,30.71067558863172,30.57892850487488,0.004289944171909
belgrade,15,NGBoost,True,0.761576354679803,0.7665024630541872,0.0049261083743842304,6.1043280056840805,6.122959310806758,19.98874341609868,20.172794232407625,0.009123714552804429
belgrade,15,NGBoost-conformal,True,0.8620689655172413,0.858128078817734,-0.003940886699507318,8.652955146428635,8.671314230082094,17.90576813544303,18.09397114801809,0.010401421060941262
belgrade,16,NGBoost,True,0.7596059113300493,0.7596059113300493,0.0,4.251932589441413,4.282483782792212,8.972247281983678,8.987808487872032,0.0017313682094307408
belgrade,16,NGBoost-conformal,True,0.9133004926108376,0.9103448275862068,-0.002955665024630738,5.849474123682496,5.866428745267877,7.845769643426222,7.86650508557204,0.0026359154313455907
belgrade,17,NGBoost,True,0.7635467980295566,0.7645320197044335,0.0009852216748769127,5.077892041871231,5.079809153732462,12.18646277727848,12.199082120106617,0.001034450190915363
belgrade,17,NGBoost-conformal,True,0.8926108374384236,0.8935960591133005,0.0009852216748769127,6.966213554480707,6.9680820006162,10.640375335010608,10.66562600786271,0.002367481555558586
belgrade,18,NGBoost,True,0.8,0.8019704433497536,0.0019704433497536034,5.003414447542769,5.011063639584349,10.425106986457903,10.329153649286653,0.009204062586205874
belgrade,18,NGBoost-conformal,True,0.92807881773399,0.929064039408867,0.0009852216748769127,7.458390576732671,7.493561781577467,9.803037749103556,9.739787391088509,0.0064521181733520235
belgrade,19,NGBoost,True,0.8049261083743843,0.8068965517241379,0.0019704433497536034,7.483560922446421,7.48207973486309,15.016921098671276,14.989600581171398,0.0018193155121721024
belgrade,19,NGBoost-conformal,True,0.9192118226600984,0.9201970443349754,0.0009852216748770237,10.387811597079816,10.386330409496486,14.01108090224078,13.9944841440817,0.00118454516642081
belgrade,20,NGBoost,True,0.8137931034482758,0.819704433497537,0.005911330049261143,4.581991084400683,4.5791729678326965,10.015088484997287,9.931906911964065,0.00830562537293897
