fi,fj,dist_km,resid_corr
6,21,1.7195771914276328,0.2055665049042643
6,22,7.28740034695119,0.06914593225100775
6,23,2.946364923425067,-0.011166484499897527
7,8,15.152300821678361,-0.08039169986361917
7,9,10.537935861803861,-0.06056118546380092
7,11,14.248838480514841,-0.11743826292206398
7,12,13.271729158852745,0.029076467828284734
7,13,14.039840478875753,-0.03395188256256873
7,14,10.505489148007756,-0.01390958227171071
7,15,13.017504987383894,0.07792855101998038
7,16,13.955146102956506,-0.02335738291549031
7,17,10.548387432999453,0.012174915802738792
7,18,17.26678974307186,-0.0020775228691351584
7,19,14.882986490770094,-0.06797091465153454
7,20,10.802092678037706,-0.036159394307969266
7,21,13.191832749214806,-0.011232256767882408
7,22,5.773197971261,-0.0014324877720408799
7,23,14.453817912108939,-0.03790895667102129
8,9,5.5169141908528445,-0.03829040264176454
8,11,0.9760662175188554,0.05482935125893151
8,12,3.3220255791327777,0.034016403567005936
8,13,4.204201254156828,-0.09161000794250762
8,14,5.323161363161192,-0.08641906427516981
8,15,3.0254592753158827,-0.024893211318933132
8,16,1.633968732232257,-0.08964069018028294
8,17,6.893442583320927,-0.05308515755373035
8,18,2.3816119033532797,-0.07336297558728258
8,19,0.5574212521131063,-0.020723245198791124
8,20,5.596943495281636,-0.07917232848537524
8,21,2.0333351875858128,0.07662844146082398
8,22,9.669688295777494,-0.1574162103560143
8,23,1.364905761175162,-0.07925427900698835
9,11,4.546223836787507,-0.006402066596988982
9,12,5.772547640784614,-0.21870259438575437
9,13,3.533877474931867,-0.05411672643501291
9,14,4.654640888839437,-0.09094319863301001
9,15,5.19901797923679,0.039186814283776204
9,16,5.125847861434043,-5.234965375243501e-05
9,17,6.718495098722837,0.007397684915885659
9,18,7.1171801921935165,-0.00673400250251499
9,19,5.059660790949905,-0.024595920483253604
9,20,0.4684089934098857,0.06345119621763186
9,21,4.209589857751181,-0.050229834715457944
9,22,6.094274646880375,0.04105282929872293
9,23,5.542192350494072,0.04199299223345331
11,12,3.1546267374711565,0.011968177958520678
11,13,3.585269933057285,0.062321566003270684
11,14,4.689048305064736,0.0489801300988319
11,15,2.7154082145490936,-0.05956211005883076
11,16,1.462359671687285,-0.06880598377899431
11,17,6.444954180912831,0.005919507960526706
11,18,3.0911113234291068,0.019409805517602834
11,19,0.6431407002419252,0.10035717104965644
11,20,4.639594836968428,-0.02964555242852234
11,21,1.3675440875519358,-0.017093997056724493
11,22,8.838789593883657,0.08181071546917
11,23,1.5115268703276254,0.1038252342210996
12,13,6.43317018599816,-0.03424906681193314
12,14,2.770347435939556,0.09504256313503379
12,15,0.5912716581541205,-0.023442471740245968
12,16,1.7308879114154159,-0.07291474942873455
12,17,3.7253182615245883,0.008584488568417958
12,18,5.612826958787343,-0.018664045460241988
12,19,3.5544760501076293,0.10091388654659804
12,20,6.093493363880736,-0.09181675553719855
12,21,2.0537674349150645,-0.13223958072658287
12,22,7.516172299092632,-0.053296969236019266
12,23,1.9734044658413858,-0.012792454268646787
13,14,6.820522002041297,-0.013979830628758707
13,15,5.880110410087646,-0.02471748625898338
13,16,4.948837834418256,0.07265890535690982
13,17,8.91530643916386,-0.004875034541478959
13,18,4.601864551192597,-0.061336279748290444
13,19,3.6510848749791873,-0.013939843065079211
13,20,3.2379233751697907,0.023016866360577645
13,21,4.379419925127719,0.04290238966152528
13,22,9.521934652970439,-0.016746663997559107
13,23,5.091366742229904,0.0568974795947157
14,15,2.5884205452861395,0.13220163030096363
14,16,3.789790184140382,-0.012675347231083257
14,17,2.1282812193013125,0.04739132360652135
14,18,7.6969973743880935,0.05431308925283505
14,19,5.29412641156735,-0.03983380072076611
14,20,5.097023431790969,-0.09573055570180511
14,21,3.334649749229953,-0.01533186081237115
14,22,4.7458486190362645,0.06777222166642387
14,23,4.246436224203733,-0.036510233270685775
15,16,1.3915055890010224,0.04491926829537853
15,17,3.877795464711628,-0.005626010295594909
15,18,5.380213700270395,0.011252035740833862
15,19,3.1800993974235,0.0965795744131083
15,20,5.51224584916011,0.07744704308284046
15,21,1.5115138930422727,0.005983870226260014
15,22,7.295356451837278,-0.06250818922038456
15,23,1.7549944988798245,-0.044766931448246325
16,17,5.263007832019227,0.10782405337689828
16,18,3.996611708248602,0.04846714591356931
16,19,1.8236849900523708,0.040930300558914466
16,20,5.337899311768207,0.054938642503092945
16,21,0.9236650208626461,0.059601472952378574
16,22,8.332205381094793,0.013594017183378694
16,23,0.5002156601530559,0.00471751439811077
17,18,9.257600667015767,0.052253148869596096
17,19,6.989352470251921,0.025980740654890346
17,20,7.172383436886195,-0.10998388387942215
17,21,5.086482670869084,-0.02371300443443359
17,22,4.928478969267321,0.04489588217354115
17,23,5.625554673331106,0.029581125283640732
18,19,2.4499130723543825,0.028909442672991947
18,20,7.061254829319996,0.024138963896537843
18,21,4.377052970225283,-0.01795339640258079
18,22,11.925707436131743,0.11815446468633557
18,23,3.6466301545148245,0.032167028250397085
19,20,5.113655548843974,0.0327575271073573
19,21,1.9595520201750543,0.010556431589697858
19,22,9.481907748949,-0.06250805450983346
19,23,1.6935897531899144,0.04254173392548308
20,21,4.435276447417482,0.034255778137005206
20,22,6.503657857370501,-0.0054715449778396
20,23,5.731383100707848,0.03534885559463441
21,22,7.649348165183996,-0.03969944628369637
21,23,1.3837093420129785,-0.0064333088077820665
22,23,8.82287702051001,0.08371400361118948
