facility_id,horizon,level,method,n_test,n_cal,PICP_corrected,MPIW_corrected,Winkler_corrected,PICP_legacy,MPIW_legacy,Winkler_legacy,d_PICP,d_MPIW,d_Winkler,rel_MPIW,rel_Winkler,arm_role,gate,gamma_held,gamma_legacy_would_select
4,y_t+15min,0.9,ACI,1015,760,0.8906403940886699,20.662698053369727,33.090625700708706,0.8906403940886699,20.88754583839805,33.197243079398255,0.0,0.2248477850283237,0.106617378689549,0.0108818211662176,0.0032219813446218,treated,N/A-mechanism-arm,0.05,0.002
4,y_t+15min,0.9,ACQR,1015,760,0.8896551724137931,21.19535347530156,31.7810370839707,0.8896551724137931,21.04382129085057,31.78867518461355,0.0,-0.1515321844509927,0.0076381006428505,-0.0071493115048809,0.0002403351603243,treated,N/A-mechanism-arm,0.05,0.005
5,y_t+15min,0.9,split-CP,1015,760,0.8945812807881773,15.060436507936402,27.580129305013543,0.8945812807881773,15.060436507936402,27.580129305013543,0.0,0.0,0.0,0.0,0.0,negative-control,N/A-mechanism-arm,,
5,y_t+15min,0.9,CQR,1015,760,0.9339901477832512,16.285559527822606,24.268642364026803,0.9339901477832512,16.285559527822606,24.268642364026803,0.0,0.0,0.0,0.0,0.0,negative-control,N/A-mechanism-arm,,
5,y_t+15min,0.9,ACI,1015,760,0.8837438423645321,15.38673305883133,27.5220916410446,0.8847290640394089,15.62058593253125,27.787784732454195,0.0009852216748768,0.2338528736999201,0.2656930914095987,0.0151983447562118,0.0096538117405786,treated,N/A-mechanism-arm,0.05,0.05
5,y_t+15min,0.9,ACQR,1015,760,0.8896551724137931,16.661709370791616,25.67146138149503,0.8906403940886699,16.764121147649742,25.748963431646573,0.0009852216748768,0.1024117768581263,0.0775020501515442,0.006146534822991,0.0030189964256343,treated,N/A-mechanism-arm,0.05,0.02
6,y_t+15min,0.9,split-CP,1015,760,0.8945812807881773,8.478773809523801,14.968359711944684,0.8945812807881773,8.478773809523801,14.968359711944684,0.0,0.0,0.0,0.0,0.0,negative-control,N/A-mechanism-arm,,
6,y_t+15min,0.9,CQR,1015,760,0.8926108374384236,8.163745723297184,13.781341861408505,0.8926108374384236,8.163745723297184,13.781341861408505,0.0,0.0,0.0,0.0,0.0,negative-control,N/A-mechanism-arm,,
6,y_t+15min,0.9,ACI,1015,760,0.8876847290640394,9.319353210737448,13.943467931721628,0.8896551724137931,9.178761716093614,13.80841589807292,0.0019704433497537,-0.1405914946438322,-0.1350520336487086,-0.0150859712540831,-0.0096856846740015,treated,N/A-mechanism-arm,0.05,0.02
6,y_t+15min,0.9,ACQR,1015,760,0.8916256157635468,9.873405738997176,14.9707131037271,0.8916256157635468,9.922813897340111,15.032901838280022,0.0,0.0494081583429348,0.0621887345529224,0.0050041657001683,0.0041540262058351,treated,N/A-mechanism-arm,0.05,0.02
7,y_t+15min,0.9,split-CP,1015,760,0.8364532019704434,47.248472222222176,90.93409319976686,0.8364532019704434,47.248472222222176,90.93409319976686,0.0,0.0,0.0,0.0,0.0,negative-control,N/A-mechanism-arm,,
7,y_t+15min,0.9,CQR,1015,760,0.8384236453201971,44.96671479418433,74.18462903908338,0.8384236453201971,44.96671479418433,74.18462903908338,0.0,0.0,0.0,0.0,0.0,negative-control,N/A-mechanism-arm,,
7,y_t+15min,0.9,ACI,1015,760,0.8837438423645321,61.34972485725368,83.39631109495322,0.8837438423645321,60.55914677433496,84.24275904292752,0.0,-0.7905780829187208,0.8464479479742977,-0.0128864161128384,0.0101497049073375,treated,N/A-mechanism-arm,0.05,0.02
7,y_t+15min,0.9,ACQR,1015,760,0.8837438423645321,54.87039376315635,71.6414882541941,0.8837438423645321,55.272910887102256,71.71686443778877,0.0,0.4025171239459055,0.0753761835946704,0.0073357797591782,0.0010521303427872,treated,N/A-mechanism-arm,0.05,0.02
9,y_t+15min,0.9,split-CP,1015,760,0.787192118226601,6.781571428571624,21.11459201325928,0.787192118226601,6.781571428571624,21.11459201325928,0.0,0.0,0.0,0.0,0.0,negative-control,N/A-mechanism-arm,,
9,y_t+15min,0.9,CQR,1015,760,0.8266009852216749,6.822321766711271,17.193908204239374,0.8266009852216749,6.822321766711271,17.193908204239374,0.0,0.0,0.0,0.0,0.0,negative-control,N/A-mechanism-arm,,
9,y_t+15min,0.9,ACI,1015,760,0.8669950738916257,9.11811874101086,14.36732677727305,0.8679802955665025,9.234395504304114,14.415886666216446,0.0009852216748768,0.1162767632932535,0.0485598889433962,0.0127522756169287,0.0033798833767886,treated,N/A-mechanism-arm,0.05,0.02
9,y_t+15min,0.9,ACQR,1015,760,0.8699507389162562,9.02768648009104,13.40534310322604,0.8699507389162562,8.940451080242914,13.483818025533406,0.0,-0.0872353998481259,0.0784749223073664,-0.0096630958596654,0.0058540032659426,treated,N/A-mechanism-arm,0.05,0.02
