city,horizon,level,method,n_facilities,excluded_facilities,mean_facility_PICP,pooled_PICP_obs_weighted,sd_PICP,worst_facility_id,worst_facility_PICP,best_facility_PICP,mean_minus_worst,n_within_002,mean_within_002,n_facilities_below_080,source_file
birmingham,y_t+60min,0.95,ACI,28,none,0.939573,0.939521,0.015807,1,0.911111,0.985185,0.028462,20,True,0,2026-09-02-core-birmingham-gcal-per-facility.csv
birmingham,y_t+60min,0.95,ACQR,28,none,0.9424,0.942865,0.014133,13,0.919643,0.977778,0.022758,22,True,0,2026-09-02-core-birmingham-gcal-per-facility.csv
birmingham,y_t+90min,0.8,split-CP,28,none,0.750383,0.747492,0.069157,24,0.585185,0.867647,0.165197,3,False,20,2026-09-02-core-birmingham-gcal-per-facility.csv
birmingham,y_t+90min,0.8,CQR,0,SKIPPED,,,,,,,,,,,SKIPPED-no-rows-at-source: 2026-09-02-core-birmingham-gcal-per-facility.csv holds no CQR rows at level 0.8
birmingham,y_t+90min,0.8,ACI,28,none,0.767412,0.768395,0.031648,24,0.666667,0.816176,0.100746,9,False,25,2026-09-02-core-birmingham-gcal-per-facility.csv
birmingham,y_t+90min,0.8,ACQR,0,SKIPPED,,,,,,,,,,,SKIPPED-no-rows-at-source: 2026-09-02-core-birmingham-gcal-per-facility.csv holds no ACQR rows at level 0.8
birmingham,y_t+90min,0.85,split-CP,28,none,0.831916,0.82971,0.051888,27,0.725926,0.925926,0.10599,10,True,8,2026-09-02-core-birmingham-gcal-per-facility.csv
birmingham,y_t+90min,0.85,CQR,0,SKIPPED,,,,,,,,,,,SKIPPED-no-rows-at-source: 2026-09-02-core-birmingham-gcal-per-facility.csv holds no CQR rows at level 0.85
birmingham,y_t+90min,0.85,ACI,28,none,0.823225,0.824415,0.027287,2,0.741379,0.874074,0.081845,10,False,3,2026-09-02-core-birmingham-gcal-per-facility.csv
birmingham,y_t+90min,0.85,ACQR,0,SKIPPED,,,,,,,,,,,SKIPPED-no-rows-at-source: 2026-09-02-core-birmingham-gcal-per-facility.csv holds no ACQR rows at level 0.85
birmingham,y_t+90min,0.9,split-CP,28,none,0.904954,0.903289,0.049268,2,0.793103,0.977778,0.11185,9,True,1,2026-09-02-core-birmingham-gcal-per-facility.csv
birmingham,y_t+90min,0.9,CQR,28,none,0.901402,0.901895,0.043956,15,0.817518,0.963235,0.083884,10,True,0,2026-09-02-core-birmingham-gcal-per-facility.csv
birmingham,y_t+90min,0.9,ACI,28,none,0.876279,0.876812,0.020358,2,0.818966,0.911765,0.057313,12,False,0,2026-09-02-core-birmingham-gcal-per-facility.csv
birmingham,y_t+90min,0.9,ACQR,28,none,0.884629,0.885173,0.023801,26,0.837037,0.948148,0.047592,13,True,0,2026-09-02-core-birmingham-gcal-per-facility.csv
birmingham,y_t+90min,0.95,split-CP,28,none,0.960606,0.959866,0.034375,7,0.882353,1.0,0.078253,10,True,0,2026-09-02-core-birmingham-gcal-per-facility.csv
birmingham,y_t+90min,0.95,CQR,28,none,0.969189,0.968506,0.030549,7,0.882353,1.0,0.086836,6,True,0,2026-09-02-core-birmingham-gcal-per-facility.csv
birmingham,y_t+90min,0.95,ACI,28,none,0.937258,0.937291,0.020423,9,0.903704,0.992593,0.033555,13,True,0,2026-09-02-core-birmingham-gcal-per-facility.csv
birmingham,y_t+90min,0.95,ACQR,28,none,0.938403,0.938685,0.017596,13,0.910714,0.992593,0.027689,17,True,0,2026-09-02-core-birmingham-gcal-per-facility.csv
