facility_id,dynamic,horizon,level,method,PICP,MPIW,Winkler,n_test,n_cal,gamma,gamma_calB_picp,n_cal_b,picp_ci_lo,picp_ci_hi,n_crossings_cal,n_crossings_test
23,True,y_t+90min,0.95,ACQR,0.9407407407407408,318.33025506230825,390.7202256713918,135,150,0.02,0.9333333333333333,75.0,,,0.0,0.0
24,True,y_t+30min,0.8,split-CP,0.7185185185185186,40.15286309523822,62.73606995884767,135,150,,,,,,,
24,True,y_t+30min,0.8,ACI,0.7407407407407407,42.3849699762172,61.556033969322854,135,150,0.002,0.7866666666666666,75.0,,,,
24,True,y_t+30min,0.85,split-CP,0.8222222222222222,49.630577380952445,64.82477432392709,135,150,,,,,,,
24,True,y_t+30min,0.85,ACI,0.8148148148148148,48.2925794572711,65.9160069687171,135,150,0.002,0.8533333333333334,75.0,,,,
24,True,y_t+30min,0.9,split-CP,0.9555555555555556,67.79892261904752,76.28519025573186,135,150,,,,0.9166666666666666,0.9848484848484849,,
24,True,y_t+30min,0.9,ACI,0.8888888888888888,53.74609283977339,72.590655917642,135,150,0.01,0.9066666666666666,75.0,0.8181818181818182,0.9393939393939394,,
24,True,y_t+30min,0.95,split-CP,1.0,131.21347817460307,131.21347817460307,135,150,,,,,,,
24,True,y_t+30min,0.95,ACI,0.9407407407407408,71.04228909197798,84.07105040885038,135,150,0.1,0.9466666666666667,75.0,,,,
24,True,y_t+30min,0.9,CQR,0.8962962962962963,72.67308239289575,84.21347730615177,135,150,,,,0.8409090909090909,0.9393939393939394,0.0,0.0
24,True,y_t+30min,0.9,ACQR,0.9259259259259259,76.57349147935128,85.43689532078618,135,150,0.002,0.9066666666666666,75.0,0.8787878787878788,0.9621212121212122,0.0,0.0
24,True,y_t+30min,0.95,CQR,0.9925925925925926,103.97834645061305,104.9390088464528,135,150,,,,,,0.0,0.0
24,True,y_t+30min,0.95,ACQR,0.9703703703703703,91.44649133823279,93.73253852926977,135,150,0.05,0.9466666666666667,75.0,,,0.0,0.0
24,True,y_t+60min,0.8,split-CP,0.6444444444444445,66.50540476190486,142.89691182993963,135,150,,,,,,,
24,True,y_t+60min,0.8,ACI,0.7777777777777778,96.42673216156275,128.09504700309986,135,150,0.05,0.7866666666666666,75.0,,,,
24,True,y_t+60min,0.85,split-CP,0.8074074074074075,96.18117063492059,146.9234248971194,135,150,,,,,,,
24,True,y_t+60min,0.85,ACI,0.7777777777777778,90.64321254609588,149.6979899408548,135,150,0.005,0.8533333333333334,75.0,,,,
24,True,y_t+60min,0.9,split-CP,0.9333333333333333,143.38263690476197,163.4572218547914,135,150,,,,0.8787878787878788,0.9772727272727273,,
24,True,y_t+60min,0.9,ACI,0.8740740740740741,124.71861754716481,165.28924748410031,135,150,0.02,0.8933333333333333,75.0,0.7878787878787878,0.9393939393939394,,
24,True,y_t+60min,0.95,split-CP,1.0,252.38757738095225,252.38757738095225,135,150,,,,,,,
24,True,y_t+60min,0.95,ACI,0.9407407407407408,154.16712830420613,189.50109778739778,135,150,0.05,0.9466666666666667,75.0,,,,
24,True,y_t+60min,0.9,CQR,0.9555555555555556,142.9640868276693,147.88978270443036,135,150,,,,0.9090909090909091,0.9924242424242424,0.0,0.0
24,True,y_t+60min,0.9,ACQR,0.9259259259259259,130.36323282418363,146.71672186989744,135,150,0.002,0.9066666666666666,75.0,0.8712121212121212,0.9696969696969697,0.0,0.0
24,True,y_t+60min,0.95,CQR,1.0,217.86118412984555,217.86118412984555,135,150,,,,,,0.0,0.0
24,True,y_t+60min,0.95,ACQR,0.9629629629629629,165.7648373960805,180.52530993542254,135,150,0.05,0.9466666666666667,75.0,,,0.0,0.0
24,True,y_t+90min,0.8,split-CP,0.5851851851851851,92.4171388888889,246.96634446983055,135,150,,,,,,,
24,True,y_t+90min,0.8,ACI,0.6666666666666666,131.9878671984394,218.18250816498315,135,150,0.005,0.8,75.0,,,,
24,True,y_t+90min,0.85,split-CP,0.7925925925925926,150.85561309523814,236.90518184267725,135,150,,,,,,,
24,True,y_t+90min,0.85,ACI,0.8074074074074075,167.96819923039922,239.24998294051625,135,150,0.02,0.8533333333333334,75.0,,,,
24,True,y_t+90min,0.9,split-CP,0.9111111111111111,218.10329166666676,252.85354938939665,135,150,,,,0.8560606060606061,0.9772727272727273,,
24,True,y_t+90min,0.9,ACI,0.8740740740740741,199.4410329752552,258.07912367056815,135,150,0.02,0.9066666666666666,75.0,0.803030303030303,0.9318181818181818,,
24,True,y_t+90min,0.95,split-CP,1.0,360.0251428571428,360.0251428571428,135,150,,,,,,,
24,True,y_t+90min,0.95,ACI,0.9185185185185185,233.796493013468,288.43350276708884,135,150,0.05,0.96,75.0,,,,
24,True,y_t+90min,0.9,CQR,0.9333333333333333,199.07409521122244,218.18286621611836,135,150,,,,0.8787878787878788,0.9772727272727273,0.0,0.0
24,True,y_t+90min,0.9,ACQR,0.9111111111111111,191.52690355268453,226.8524782545974,135,150,0.002,0.88,75.0,0.8484848484848485,0.9545454545454546,0.0,0.0
24,True,y_t+90min,0.95,CQR,1.0,278.4875671166781,278.4875671166781,135,150,,,,,,0.0,0.0
24,True,y_t+90min,0.95,ACQR,0.9555555555555556,239.91379935338534,266.97807720625474,135,150,0.02,0.9466666666666667,75.0,,,0.0,0.0
25,True,y_t+30min,0.8,split-CP,0.7851851851851852,254.0734285714288,350.60091857730737,135,150,,,,,,,
25,True,y_t+30min,0.8,ACI,0.8148148148148148,264.1422817794345,352.25717772967766,135,150,0.002,0.8,75.0,,,,
25,True,y_t+30min,0.85,split-CP,0.8296296296296296,269.17022023809477,378.7618250783853,135,150,,,,,,,
25,True,y_t+30min,0.85,ACI,0.8444444444444444,297.3877414902999,384.3937469772683,135,150,0.02,0.84,75.0,,,,
25,True,y_t+30min,0.9,split-CP,0.8666666666666667,308.1338452380951,413.89529644326865,135,150,,,,0.8409090909090909,0.9166666666666666,,
25,True,y_t+30min,0.9,ACI,0.8962962962962963,363.4201328042329,431.3928873603762,135,150,0.02,0.8933333333333333,75.0,0.8636363636363636,0.9393939393939394,,
25,True,y_t+30min,0.95,split-CP,0.9111111111111111,354.1049285714289,470.10479629629583,135,150,,,,,,,
25,True,y_t+30min,0.95,ACI,0.9333333333333333,398.4512272780717,472.05776519694285,135,150,0.002,0.9466666666666667,75.0,,,,
25,True,y_t+30min,0.9,CQR,0.8296296296296296,312.3819835528756,439.8159652782815,135,150,,,,0.7954545454545454,0.8863636363636364,0.0,0.0
25,True,y_t+30min,0.9,ACQR,0.9185185185185185,352.37482312989374,435.3540264760586,135,150,0.02,0.8933333333333333,75.0,0.8863636363636364,0.9621212121212122,0.0,0.0
25,True,y_t+30min,0.95,CQR,0.9259259259259259,376.89714095937717,505.5787352154979,135,150,,,,,,0.0,0.0
25,True,y_t+30min,0.95,ACQR,0.9481481481481482,436.6854506465517,525.9266590932771,135,150,0.02,0.9466666666666667,75.0,,,0.0,0.0
25,True,y_t+60min,0.8,split-CP,0.7777777777777778,425.90444047619076,553.9784112687723,135,150,,,,,,,
25,True,y_t+60min,0.8,ACI,0.7925925925925926,420.3478877745712,563.8421346881513,135,150,0.05,0.8,75.0,,,,
25,True,y_t+60min,0.85,split-CP,0.837037037037037,455.63008333333346,590.2933542078634,135,150,,,,,,,
25,True,y_t+60min,0.85,ACI,0.8518518518518519,477.00271328363004,598.4502554424316,135,150,0.002,0.84,75.0,,,,
25,True,y_t+60min,0.9,split-CP,0.8814814814814815,497.144416666666,639.6759140612476,135,150,,,,0.8409090909090909,0.9393939393939394,,
25,True,y_t+60min,0.9,ACI,0.8962962962962963,534.5425647266312,647.9501583480306,135,150,0.01,0.88,75.0,0.8560606060606061,0.946969696969697,,
25,True,y_t+60min,0.95,split-CP,0.9407407407407408,581.3879880952381,714.1323808054086,135,150,,,,,,,
25,True,y_t+60min,0.95,ACI,0.9481481481481482,634.7074066431513,754.9890568489125,135,150,0.01,0.9466666666666667,75.0,,,,
25,True,y_t+60min,0.9,CQR,0.9407407407407408,612.9662515092344,669.672747395575,135,150,,,,0.9090909090909091,0.9696969696969697,0.0,0.0
25,True,y_t+60min,0.9,ACQR,0.9185185185185185,578.2855972132885,653.2434669914588,135,150,0.02,0.9066666666666666,75.0,0.8787878787878788,0.9545454545454546,0.0,0.0
25,True,y_t+60min,0.95,CQR,0.9925925925925926,706.4636489312272,710.3540964731117,135,150,,,,,,0.0,0.0
25,True,y_t+60min,0.95,ACQR,0.9407407407407408,666.7998624178941,762.5651000522131,135,150,0.1,0.9466666666666667,75.0,,,0.0,0.0
25,True,y_t+90min,0.8,split-CP,0.725925925925926,540.6817916666671,769.0728641240447,135,150,,,,,,,
25,True,y_t+90min,0.8,ACI,0.7777777777777778,608.2934008951952,778.8355954532093,135,150,0.05,0.8,75.0,,,,
25,True,y_t+90min,0.85,split-CP,0.8074074074074075,601.8215297619043,814.0350672888496,135,150,,,,,,,
25,True,y_t+90min,0.85,ACI,0.8444444444444444,659.9713110523221,823.5639526357045,135,150,0.01,0.8533333333333334,75.0,,,,
25,True,y_t+90min,0.9,split-CP,0.837037037037037,647.7794999999994,883.3730251322754,135,150,,,,0.7878787878787878,0.9015151515151515,,
25,True,y_t+90min,0.9,ACI,0.8740740740740741,750.642839932393,864.4759085684891,135,150,0.005,0.9066666666666666,75.0,0.8257575757575758,0.9318181818181818,,
25,True,y_t+90min,0.95,split-CP,0.9407407407407408,805.8974702380956,907.4687312610225,135,150,,,,,,,
25,True,y_t+90min,0.95,ACI,0.9481481481481482,804.8035751322755,908.3574340388009,135,150,0.01,0.9466666666666667,75.0,,,,
25,True,y_t+90min,0.9,CQR,0.9629629629629629,905.5207518241766,930.4427781743366,135,150,,,,0.9393939393939394,0.9848484848484849,0.0,0.0
25,True,y_t+90min,0.9,ACQR,0.8814814814814815,765.9592990918939,968.408590787085,135,150,0.1,0.9066666666666666,75.0,0.8106060606060606,0.9318181818181818,0.0,0.0
25,True,y_t+90min,0.95,CQR,0.9925925925925926,1083.1763930002314,1099.3132522647204,135,150,,,,,,0.0,0.0
25,True,y_t+90min,0.95,ACQR,0.9185185185185185,875.7226211107331,1104.9045336583124,135,150,0.1,0.96,75.0,,,0.0,0.0
26,True,y_t+30min,0.8,split-CP,0.837037037037037,116.23190476190484,192.77117836433118,135,150,,,,,,,
26,True,y_t+30min,0.8,ACI,0.7851851851851852,124.2834949668644,175.8551056103362,135,150,0.1,0.8133333333333334,75.0,,,,
26,True,y_t+30min,0.85,split-CP,0.8740740740740741,153.45835119047615,218.73594291904942,135,150,,,,,,,
26,True,y_t+30min,0.85,ACI,0.8444444444444444,135.93080011757795,230.30243466410124,135,150,0.01,0.84,75.0,,,,
26,True,y_t+30min,0.9,split-CP,0.9259259259259259,196.99440476190466,251.1623894767784,135,150,,,,0.8636363636363636,0.9696969696969697,,
26,True,y_t+30min,0.9,ACI,0.8888888888888888,178.66104296002348,262.2972886310193,135,150,0.01,0.8933333333333333,75.0,0.803030303030303,0.9545454545454546,,
26,True,y_t+30min,0.95,split-CP,0.9555555555555556,233.11149999999992,304.2422186948852,135,150,,,,,,,
26,True,y_t+30min,0.95,ACI,0.9481481481481482,222.9140926754315,318.6693181310458,135,150,0.01,0.9466666666666667,75.0,,,,
26,True,y_t+30min,0.9,CQR,0.9037037037037037,162.0968276038535,227.8734188137987,135,150,,,,0.8484848484848485,0.9545454545454546,0.0,0.0
26,True,y_t+30min,0.9,ACQR,0.8814814814814815,188.17915483877658,226.68779762846324,135,150,0.1,0.9066666666666666,75.0,0.8409090909090909,0.9242424242424242,0.0,0.0
26,True,y_t+30min,0.95,CQR,0.9629629629629629,248.17751314449686,294.8871270691948,135,150,,,,,,0.0,0.0
26,True,y_t+30min,0.95,ACQR,0.9407407407407408,231.63388047419582,274.42298327269145,135,150,0.1,0.9466666666666667,75.0,,,0.0,0.0
26,True,y_t+60min,0.8,split-CP,0.762962962962963,186.33536904761925,365.5318930041154,135,150,,,,,,,
26,True,y_t+60min,0.8,ACI,0.7555555555555555,193.3156319277431,382.79257799556416,135,150,0.01,0.8,75.0,,,,
26,True,y_t+60min,0.85,split-CP,0.8592592592592593,263.7316071428573,404.50876577503425,135,150,,,,,,,
26,True,y_t+60min,0.85,ACI,0.837037037037037,268.3441025519748,362.873443135945,135,150,0.1,0.8533333333333334,75.0,,,,
26,True,y_t+60min,0.9,split-CP,0.9259259259259259,352.4030714285718,465.8116775426219,135,150,,,,0.8484848484848485,0.9848484848484849,,
26,True,y_t+60min,0.9,ACI,0.8814814814814815,314.38829608786284,443.9854393859229,135,150,0.1,0.8933333333333333,75.0,0.8181818181818182,0.9242424242424242,,
26,True,y_t+60min,0.95,split-CP,0.9703703703703703,469.8027261904763,541.3844199000589,135,150,,,,,,,
26,True,y_t+60min,0.95,ACI,0.9333333333333333,410.88147974319924,561.6377534057506,135,150,0.1,0.9333333333333333,75.0,,,,
26,True,y_t+60min,0.9,CQR,0.8814814814814815,287.33734189423825,429.49387560476475,135,150,,,,0.8106060606060606,0.9393939393939394,0.0,0.0
26,True,y_t+60min,0.9,ACQR,0.8888888888888888,339.57483865024534,447.2719165283773,135,150,0.05,0.9066666666666666,75.0,0.803030303030303,0.9545454545454546,0.0,0.0
26,True,y_t+60min,0.95,CQR,0.9925925925925926,579.2036413389819,585.9606138480202,135,150,,,,,,0.0,0.0
26,True,y_t+60min,0.95,ACQR,0.9333333333333333,454.8575242929816,584.5606325710984,135,150,0.1,0.9466666666666667,75.0,,,0.0,0.0
26,True,y_t+90min,0.8,split-CP,0.7481481481481481,292.459952380952,526.6453651862541,135,150,,,,,,,
26,True,y_t+90min,0.8,ACI,0.7555555555555555,280.5469528726417,551.2316543383571,135,150,0.002,0.8,75.0,,,,
26,True,y_t+90min,0.85,split-CP,0.8592592592592593,386.8555357142859,572.1415701058199,135,150,,,,,,,
26,True,y_t+90min,0.85,ACI,0.7851851851851852,359.98051236438454,623.1125655327526,135,150,0.005,0.8533333333333334,75.0,,,,
26,True,y_t+90min,0.9,split-CP,0.9259259259259259,532.5219583333328,662.8651855526159,135,150,,,,0.8484848484848485,0.9848484848484849,,
26,True,y_t+90min,0.9,ACI,0.8592592592592593,467.06834426540536,618.5762488135324,135,150,0.1,0.88,75.0,0.7878787878787878,0.9166666666666666,,
26,True,y_t+90min,0.95,split-CP,0.9333333333333333,615.8218888888886,762.1049174015283,135,150,,,,,,,
26,True,y_t+90min,0.95,ACI,0.9333333333333333,519.3612040404039,674.240515327882,135,150,0.1,0.9066666666666666,75.0,,,,
26,True,y_t+90min,0.9,CQR,0.8888888888888888,459.34404371399205,615.1462739290597,135,150,,,,0.8106060606060606,0.946969696969697,0.0,0.0
26,True,y_t+90min,0.9,ACQR,0.837037037037037,456.2230344552159,706.1292439226053,135,150,0.002,0.9066666666666666,75.0,0.7348484848484849,0.9166666666666666,0.0,0.0
26,True,y_t+90min,0.95,CQR,0.9851851851851852,814.0125375089956,835.31582874033,135,150,,,,,,0.0,0.0
26,True,y_t+90min,0.95,ACQR,0.9333333333333333,738.6494132309055,892.793036735278,135,150,0.002,0.9333333333333333,75.0,,,0.0,0.0
27,True,y_t+30min,0.8,split-CP,0.7037037037037037,35.16848412698415,67.00573568355516,135,150,,,,,,,
27,True,y_t+30min,0.8,ACI,0.7925925925925926,53.43909809470369,73.13467215541661,135,150,0.1,0.8,75.0,,,,
27,True,y_t+30min,0.85,split-CP,0.7703703703703704,39.99486309523809,74.28164456068627,135,150,,,,,,,
27,True,y_t+30min,0.85,ACI,0.8444444444444444,55.89696677622791,75.2811890786169,135,150,0.05,0.8533333333333334,75.0,,,,
27,True,y_t+30min,0.9,split-CP,0.8518518518518519,49.6683452380953,81.46673027898028,135,150,,,,0.8106060606060606,0.8939393939393939,,
27,True,y_t+30min,0.9,ACI,0.9037037037037037,64.50910730987121,83.2403983819678,135,150,0.05,0.9066666666666666,75.0,0.8560606060606061,0.946969696969697,,
27,True,y_t+30min,0.95,split-CP,0.9259259259259259,66.52713095238099,94.70344341563792,135,150,,,,,,,
27,True,y_t+30min,0.95,ACI,0.9407407407407408,80.56704554673728,96.56979569370968,135,150,0.01,0.9466666666666667,75.0,,,,
27,True,y_t+30min,0.9,CQR,0.8518518518518519,55.34662948471285,93.96794479857648,135,150,,,,0.803030303030303,0.9015151515151515,0.0,0.0
27,True,y_t+30min,0.9,ACQR,0.8962962962962963,71.09742212236426,93.18494260946525,135,150,0.05,0.8933333333333333,75.0,0.8560606060606061,0.9393939393939394,0.0,0.0
27,True,y_t+30min,0.95,CQR,0.9037037037037037,70.31569177595485,109.63338952641821,135,150,,,,,,0.0,0.0
27,True,y_t+30min,0.95,ACQR,0.9481481481481482,89.41425916688502,107.53909811658922,135,150,0.01,0.9466666666666667,75.0,,,0.0,0.0
27,True,y_t+60min,0.8,split-CP,0.6888888888888889,58.79258531746018,95.90471615627183,135,150,,,,,,,
27,True,y_t+60min,0.8,ACI,0.7851851851851852,71.59319730906954,96.56751550424887,135,150,0.05,0.8,75.0,,,,
27,True,y_t+60min,0.85,split-CP,0.837037037037037,73.70978769841284,99.9903238625229,135,150,,,,,,,
27,True,y_t+60min,0.85,ACI,0.837037037037037,74.65472859948697,102.82981991831898,135,150,0.05,0.8533333333333334,75.0,,,,
27,True,y_t+60min,0.9,split-CP,0.8888888888888888,83.98454761904759,108.92321627652186,135,150,,,,0.8333333333333334,0.9318181818181818,,
