facility_id,dynamic,bucket,method,PICP,MPIW,n_cell,n_own,n_init,fell_back,gamma,degenerate
6,True,evening,split-CP,0.9316239316239316,8.4787738095238,117,141,141,False,0.02,False
6,True,night,Mondrian-split-CP,0.7684210526315789,4.126555555555555,285,177,177,False,0.02,False
6,True,am_rush,Mondrian-split-CP,0.7708333333333334,6.47369047619047,192,96,96,False,0.02,False
6,True,midday,Mondrian-split-CP,0.908,9.072365079365085,250,202,202,False,0.02,False
6,True,pm_rush,Mondrian-split-CP,0.8538011695906432,12.319398774714564,171,144,144,False,0.02,False
6,True,evening,Mondrian-split-CP,0.9401709401709402,9.431492063492055,117,141,141,False,0.02,False
6,True,night,ACI,0.9578947368421052,7.876272075390498,285,177,177,False,0.02,False
6,True,am_rush,ACI,0.84375,7.1263036303010265,192,96,96,False,0.02,False
6,True,midday,ACI,0.872,9.238982949013948,250,202,202,False,0.02,False
6,True,pm_rush,ACI,0.8187134502923976,13.238015966543744,171,144,144,False,0.02,False
6,True,evening,ACI,0.9743589743589743,12.517984583317913,117,141,141,False,0.02,False
6,True,night,ToD-ACI,0.9052631578947369,7.26783442402302,285,177,177,False,0.02,False
6,True,am_rush,ToD-ACI,0.8854166666666666,10.710408964395944,192,96,96,False,0.02,False
6,True,midday,ToD-ACI,0.908,9.576859696007695,250,202,202,False,0.02,False
6,True,pm_rush,ToD-ACI,0.8947368421052632,18.407608883319412,171,144,144,False,0.02,False
6,True,evening,ToD-ACI,0.9230769230769231,8.380399595260707,117,141,141,False,0.02,False
7,True,night,split-CP,0.9228070175438596,47.24847222222223,285,177,177,False,0.02,False
7,True,am_rush,split-CP,0.9479166666666666,47.24847222222223,192,96,96,False,0.02,False
7,True,midday,split-CP,0.676,47.24847222222223,250,202,202,False,0.02,False
7,True,pm_rush,split-CP,0.7894736842105263,47.24847222222224,171,144,144,False,0.02,False
7,True,evening,split-CP,0.8547008547008547,47.24847222222225,117,141,141,False,0.02,False
7,True,night,Mondrian-split-CP,0.7684210526315789,20.425068579568578,285,177,177,False,0.02,False
7,True,am_rush,Mondrian-split-CP,0.8125,24.287960317460374,192,96,96,False,0.02,False
7,True,midday,Mondrian-split-CP,0.736,57.52022222222217,250,202,202,False,0.02,False
7,True,pm_rush,Mondrian-split-CP,0.8538011695906432,56.10473809523807,171,144,144,False,0.02,False
7,True,evening,Mondrian-split-CP,0.8034188034188035,42.975751322751314,117,141,141,False,0.02,False
7,True,night,ACI,0.9263157894736842,62.831177946971806,285,177,177,False,0.02,False
7,True,am_rush,ACI,0.921875,43.09800401835819,192,96,96,False,0.02,False
7,True,midday,ACI,0.792,74.34724013852814,250,202,202,False,0.02,False
7,True,pm_rush,ACI,0.9239766081871345,81.56426502352963,171,144,144,False,0.02,False
7,True,evening,ACI,0.9316239316239316,62.8107242746965,117,141,141,False,0.02,False
7,True,night,ToD-ACI,0.8912280701754386,52.635026210501636,285,177,177,False,0.02,False
7,True,am_rush,ToD-ACI,0.8854166666666666,42.0138235273118,192,96,96,False,0.02,False
7,True,midday,ToD-ACI,0.9,95.01940613227512,250,202,202,False,0.02,False
7,True,pm_rush,ToD-ACI,0.9064327485380117,74.28416260910414,171,144,144,False,0.02,False
7,True,evening,ToD-ACI,0.8717948717948718,52.31027069843738,117,141,141,False,0.02,False
8,True,night,split-CP,0.775438596491228,57.28482633435441,285,177,177,False,0.005,False
8,True,am_rush,split-CP,0.65625,62.04396514688052,192,96,96,False,0.005,False
8,True,midday,split-CP,1.0,54.39470317989419,250,202,202,False,0.005,False
8,True,pm_rush,split-CP,0.9649122807017544,52.62706609888921,171,144,144,False,0.005,False
8,True,evening,split-CP,1.0,58.047468593135285,117,141,141,False,0.005,False
8,True,night,Mondrian-split-CP,1.0,80.08200713821594,285,177,177,False,0.005,False
