facility_id,horizon,level,method,n_test,n_cal,PICP_corrected,MPIW_corrected,Winkler_corrected,PICP_legacy,MPIW_legacy,Winkler_legacy,d_PICP,d_MPIW,d_Winkler,rel_MPIW,rel_Winkler,arm_role,gate,gamma_held,gamma_legacy_would_select
17,y_t+15min,0.9,ACQR,1015,760,0.8935960591133005,7.796090577428123,10.984605659619614,0.8935960591133005,7.794681887804774,10.919255513364403,0.0,-0.0014086896233482,-0.0653501462552093,-0.0001806917979412,-0.0059492482734671,treated,PASS,0.02,0.02
18,y_t+15min,0.9,split-CP,1015,760,0.9497536945812808,11.278210317460308,13.137564345661632,0.9497536945812808,11.278210317460308,13.137564345661632,0.0,0.0,0.0,0.0,0.0,negative-control,PASS,,
18,y_t+15min,0.9,CQR,1015,760,0.9320197044334976,7.473051444649143,9.395005164994188,0.9320197044334976,7.473051444649143,9.395005164994188,0.0,0.0,0.0,0.0,0.0,negative-control,PASS,,
18,y_t+15min,0.9,ACI,1015,760,0.8935960591133005,8.20114427088146,12.532967304170011,0.8945812807881773,8.12005806469575,12.528101303795635,0.0009852216748768,-0.0810862061857111,-0.0048660003743759,-0.009887182020881,-0.0003882560495276,treated,PASS,0.005,0.005
18,y_t+15min,0.9,ACQR,1015,760,0.8975369458128079,6.668352723946979,9.252341083277576,0.8985221674876848,6.646678621843565,9.21406264076836,0.0009852216748769,-0.0216741021034145,-0.0382784425092133,-0.0032502932884128,-0.0041371629260832,treated,PASS,0.01,0.02
19,y_t+15min,0.9,split-CP,1015,760,0.9251231527093596,12.274668114110852,15.77329140306419,0.9251231527093596,12.274668114110852,15.77329140306419,0.0,0.0,0.0,0.0,0.0,negative-control,PASS,,
19,y_t+15min,0.9,CQR,1015,760,0.9083743842364532,9.83719074504612,14.184902688855829,0.9083743842364532,9.83719074504612,14.184902688855829,0.0,0.0,0.0,0.0,0.0,negative-control,PASS,,
19,y_t+15min,0.9,ACI,1015,760,0.8886699507389163,10.97464974315048,15.454308641540909,0.8886699507389163,11.054629131509795,15.46365552256082,0.0,0.0799793883593142,0.0093468810199102,0.007287648374312,0.0006048074512234,treated,PASS,0.05,0.05
19,y_t+15min,0.9,ACQR,1015,760,0.8866995073891626,10.83391264571376,15.125639217581474,0.8866995073891626,10.943993140569884,15.16192325746018,0.0,0.110080494856124,0.0362840398787049,0.010160733103167,0.0023988434046826,treated,PASS,0.05,0.05
20,y_t+15min,0.9,split-CP,1015,760,0.9438423645320198,10.962037711030073,12.758789982750327,0.9438423645320198,10.962037711030073,12.758789982750327,0.0,0.0,0.0,0.0,0.0,negative-control,PASS,,
20,y_t+15min,0.9,CQR,1015,760,0.9399014778325124,7.860854644611132,9.730607089320497,0.9399014778325124,7.860854644611132,9.730607089320497,0.0,0.0,0.0,0.0,0.0,negative-control,PASS,,
20,y_t+15min,0.9,ACI,1015,760,0.8916256157635468,7.279670863851528,11.533431114730003,0.8916256157635468,7.329414424724153,11.528346268377671,0.0,0.0497435608726242,-0.0050848463523323,0.0068332156498495,-0.0004408788938651,treated,PASS,0.01,0.01
